#,Family,Capacity (ml),Neck finish,Glass finish,Variant,Height without cap (mm),Tolerance (± mm),"Height with cap, min (mm)","Height with cap, max (mm)",Diameter (mm),Governing SKU,Governing product,SKUs on this glass,Glass colours,Heights recorded across its SKUs,SKUs with a different height,Measurement source,Status,Notes
85,Round,78,18-415,Frosted,,73.0,1.0,77.0,131.0,59.0,GBRndFrst78AnSpBlk,"Round design 78 ml, 2.65oz frosted glass bottle with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beauty",43,Frosted,73 mm × 42; 100 mm × 1,GBRndFrst78AnSpWht (100 mm),none × 43,Heights disagree,most common height used; fix the SKUs listed
86,Round,78,18-415,Standard,,73.0,1.0,77.0,131.0,59.0,GBRnd78AnSpBlk,"Round design 78 ml, 2.65oz  clear glass bottle  with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beauty",43,Clear,73 mm × 42; 100 mm × 1,GBRnd78AnSpWht (100 mm),none × 43,Heights disagree,most common height used; fix the SKUs listed
87,Round,128,18-415,Frosted,,83.0,1.0,87.0,135.0,69.0,GBRndFrst128AnSpBlk,"Round design 128 ml, 4.33oz frosted glass bottle with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beaut",46,Frosted,78.7 mm × 1; 83 mm × 43; 83.6 mm × 1; 110 mm × 1,"GBRndFrst128AnSpWht (110 mm), GBRndFrst128DrpGl (78.7 mm), GBRndFrst128DrpSl (83.6 mm)",none × 46,Heights disagree,most common height used; fix the SKUs listed
88,Round,128,18-415,Standard,,83.0,1.0,87.0,135.0,69.0,GBRnd128AnSpBlk,"Round design 128 ml, 4.33oz  clear glass bottle  with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beaut",46,Clear,83 mm × 43; 83.6 mm × 2; 110 mm × 1,"GBRnd128AnSpWht (110 mm), GBRnd128DrpGl (83.6 mm), GBRnd128DrpSl (83.6 mm)",none × 46,Heights disagree,most common height used; fix the SKUs listed
89,Royal,13,13-415,Standard,,56.0,1.0,58.0,76.0,43.7,GBRoyal13BlkShSht,"Royal design 13ml, 1/2oz Clear glass bottle with short shiny black cap.",37,Clear,56 mm × 37,,none × 37,OK,
90,Royal,14,11mm,Standard,,64.0,1.0,92.0,92.0,43.7,GBMtlCylGl,Royal cylinder bottle with Crystal Cap with glass applicator.Capacity: Approx 14ml,1,Clear,64 mm × 1,,none × 1,OK,
91,Sleek,5,13-415,Standard,,45.0,0.5,47.0,64.0,17.0,GBSleek5BlkSht,"Sleek design 5ml, 1/6oz Clear glass bottle with short black cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, Small sized bottle for decants, promotion, samples and travel accessory. Price each",36,Clear,45 mm × 36,,master truth × 30; none × 6,OK,
92,Sleek,8,13-415,Standard,,66.0,1.0,62.0,86.0,17.0,GBSleek8BlkSht,"Sleek design 8ml, 1/3oz Clear glass bottle with short black cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, Small sized bottle for decants, promotion, samples and travel accessory. Price each",36,Clear,66 mm × 36,,master truth × 30; none × 6,OK,
93,Sleek,30,18-415,Standard,,98.0,1.0,102.0,171.0,28.0,GBSlk30AnSpBlk,"Sleek design 30 ml, 1oz  clear glass bottle  with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beauty of",38,Clear,98 mm × 38,,master truth × 38,OK,
94,Sleek,50,18-415,Standard,,139.0,2.0,143.0,171.0,28.0,GBSlk50AnSpBlk,"Sleek design 50 ml, 1.7oz  clear glass bottle  with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beauty",44,Clear,139 mm × 44,,master truth × 44,OK,
95,Sleek,100,18-415,Standard,,149.0,2.0,178.0,199.0,36.0,GBSlk100AnSpBlk,"Sleek design 100 ml, 3 1/2oz  clear glass bottle  with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beau",44,Clear,149 mm × 44,,master truth × 44,OK,
96,Slim,30,18-415,Standard,,87.0,1.0,91.0,115.0,30.0,GBSlm30AnSpBlk,"Slim design 30 ml, 1oz  clear glass bottle  with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beauty of",37,Clear,87 mm × 37,,master truth × 37,OK,
97,Slim,50,18-415,Standard,,121.0,2.0,110.0,147.0,31.0,GBSlm50AnSpBlk,"Slim design 50 ml, 1.7oz  clear glass bottle  with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beauty o",43,Clear,121 mm × 43,,master truth × 43,OK,
98,Slim,100,18-415,Standard,,154.0,2.0,145.0,197.0,37.0,GBSlm100AnSpBlk,"Slim design 100 ml, 3 1/2oz  clear glass bottle  with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beaut",43,Clear,154 mm × 43,,master truth × 43,OK,
99,Square,15,13-415,Standard,,52.0,1.0,55.0,73.0,26.0,GBSqr15BlkSht,"Square design 15ml, 1/2oz Clear glass bottle with short black cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Price each",34,Clear,52 mm × 34,,master truth × 29; none × 5,OK,
100,Teardrop,9,Ground,Standard,,43.0,0.5,68.0,68.0,20.0,GBTRDPClear,Clear glass teardrop shaped bottle with glass stopper. Capacity : 9ml (1/3oz),3,"Clear, Cobalt Blue, Green",43 mm × 3,,master truth × 3,OK,
101,Tulip,5,13-415,Standard,,45.0,0.5,47.0,72.0,23.0,GBTulipAmb5BlkSht,"Tulip design 5ml, 1/6 oz Amber glass bottle with short black cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, Small sized bottle for decants, promotion, samples and travel accessory. Price each",36,Amber,45 mm × 36,,master truth × 30; none × 6,OK,
102,Tulip,6,13-415,Standard,,45.0,0.5,47.0,73.0,23.0,GBTulip6BlkShSht,"Tulip design 6ml, 1/5oz Clear glass bottle with short shiny black cap.",35,Clear,45 mm × 35,,master truth × 30; none × 5,OK,
103,Vial,1,Plug,Standard,,35.0,0.5,44.0,44.0,8.0,GB1mlVBlk,"Vial style 1 ml clear glass bottle with black applicator. For use with perfume or fragrance oil, essential oil, aromatherapy, sample or trial size. Good for giving samples or for promotions. Price each",4,"Amber, Clear",35 mm × 4,,master truth × 4,OK,
104,Vial,2,13-425,Standard,,22.0,0.5,24.0,24.0,16.0,GBVialAmb1o5WhtCapSht,"Vial design 1.5ml, Amber glass vial with white short cap. For use with perfume or fragrance oil, essential oil, aromatherapy, sample or trial size. Perfume sample vials for promotions. Price each",1,Amber,22 mm × 1,,master truth × 1,OK,
105,Vial,2,8-425,Standard,,35.0,0.5,37.0,37.0,12.0,GBVialClr2mlBlackCap,Vial design 2 ml clear glass vial with short black cap.,4,"Amber, Clear",35 mm × 4,,master truth × 4,OK,
106,Vial,3,13-425,Standard,,29.0,0.5,20.0,75.0,14.0,GBVGreen2o4BlackCapSht,"Vial design 5/8 dram Green glass vial with black short cap. For use with perfume or fragrance oil, essential oil, aromatherapy, sample or trial size. Perfume sample vials for promotions. Price each",3,"Blue, Green",27 mm × 1; 29 mm × 2,GBVBlu1o9BlackCapSht (27 mm),master truth × 3,Heights disagree,"most common height used; fix the SKUs listed; all the odd ones are short-cap listings, possibly measured with the cap on"
107,Vial,4,13-425,Standard,,45.0,0.5,45.0,63.0,15.0,GBV1DrmBlackCapSht,"Vial design 1 dram Clear glass vial with black short cap. For use with perfume or fragrance oil, essential oil, aromatherapy, sample or trial size. Perfume sample vials for promotions. Price each",12,"Amber, Blue, Clear, Green",45 mm × 12,,master truth × 12,OK,
108,Vial,9,18-400,Standard,,79.4,,47.0,50.0,20.0,GB09BlackCapApp,"Cylinder design 9 ml clear glass vial with black cap with glass rod applicator. For use with perfume or fragrance oil, essential oil, aromatherapy. Small sample or trial size vial. Price each",2,Clear,79.4 mm × 2,,master truth × 2,OK,
