grace_sku,body_id,neck_finish,shape
LBCyl50LtnMtGl,Cyl-round-18-415-117x32,18-415,round
GBCyl50SpryMtGl,Cyl-round-18-415-117x32,18-415,round
LBCyl50LtnMtSl,Cyl-round-18-415-117x32,18-415,round
GBCyl50SpryMtSl,Cyl-round-18-415-117x32,18-415,round
GBCyl50AnSpMtSl,Cyl-round-18-415-117x32,18-415,round
GBCyl50AnSpTslMtSl,Cyl-round-18-415-117x32,18-415,round
GBCyl50AnSpPnk,Cyl-round-18-415-117x32,18-415,round
GBCyl50AnSpTslPnk,Cyl-round-18-415-117x32,18-415,round
GBCyl50AnSpRed,Cyl-round-18-415-117x32,18-415,round
GBCyl50AnSpTslRed,Cyl-round-18-415-117x32,18-415,round
GBCyl50RdcrBlkLthr,Cyl-round-18-415-117x32,18-415,round
GBCyl50RdcrShnBlk,Cyl-round-18-415-117x32,18-415,round
GBCyl50RdcrBrwnLthr,Cyl-round-18-415-117x32,18-415,round
GBCyl50RdcrIvyLthr,Cyl-round-18-415-117x32,18-415,round
GBCyl50RdcrLBrwnLthr,Cyl-round-18-415-117x32,18-415,round
GBCyl50RdcrPnkLthr,Cyl-round-18-415-117x32,18-415,round
GBCyl50RdcrShnGl,Cyl-round-18-415-117x32,18-415,round
GBCyl50RdcrShnSl,Cyl-round-18-415-117x32,18-415,round
GBCyl50RdcrMtSl,Cyl-round-18-415-117x32,18-415,round
GBCyl50RdcrShnBlkTall,Cyl-round-18-415-117x32,18-415,round
GBCyl50RdcrMtSlTall,Cyl-round-18-415-117x32,18-415,round
GBCyl50RdcrWht,Cyl-round-18-415-117x32,18-415,round
LBCyl50LtnShnBlk,Cyl-round-18-415-117x32,18-415,round
GBCyl50SpryShnBlk,Cyl-round-18-415-117x32,18-415,round
LBCyl50LtnShnGl,Cyl-round-18-415-117x32,18-415,round
GBCyl50SpryShnGl,Cyl-round-18-415-117x32,18-415,round
LBCyl50LtnShnSl,Cyl-round-18-415-117x32,18-415,round
GBCyl50SpryShnSl,Cyl-round-18-415-117x32,18-415,round
GBCyl50AnSpWht,Cyl-round-18-415-117x32,18-415,round
GBCyl50AnSpTslWht,Cyl-round-18-415-117x32,18-415,round
GBCylBlu5SpryBlkSh,Cyl-round-13-415-53x17,13-415,round
GBCylBlu5SpryGlSh,Cyl-round-13-415-53x17,13-415,round
GBCylBlu5BlkSht,Cyl-round-13-415-53x17,13-415,round
GBCylBlu5WhtSht,Cyl-round-13-415-53x17,13-415,round
GBCyl5RollBlkSh,Cyl-round-13-415-53x17,13-415,round
GBCyl5RollGlSh,Cyl-round-13-415-53x17,13-415,round
GBCyl5RollSlSh,Cyl-round-13-415-53x17,13-415,round
GBCyl5SpryBlkSh,Cyl-round-13-415-53x17,13-415,round
GBCyl5SpryGlSh,Cyl-round-13-415-53x17,13-415,round
GBCyl5BlkSht,Cyl-round-13-415-53x17,13-415,round
GBCyl5WhtSht,Cyl-round-13-415-53x17,13-415,round
LBCylAmb9LtnBlk,Cyl-round-17-415-70x20,17-415,round
LBCylAmb9LtnGl,Cyl-round-17-415-70x20,17-415,round
LBCylAmb9LtnMtSl,Cyl-round-17-415-70x20,17-415,round
GBCylAmb9MtlRollBlkDot,Cyl-round-17-415-70x20,17-415,round
