sku,url,neck,family,glass,capacityMl,sha256,hasPurchase,stockUnavailable,error
GBCrcl15WhtSht,https://www.bestbottles.com/product/circle-design-15-ml-bottle-short-white-cap,13-415,,Clear,15,11b26b2776e626ca18bfb8be997fe7c5d9e9d8fd3848fafbfd8686177fe6da8c,True,False,
GBEmp100RdcrLBrwnLthr,https://www.bestbottles.com/product/empire-design-100-ml-glass-bottle-reducer-light-brown-faux-leather-cap,18-415,,Clear,100,1d8d6dcc12af899f81ba1be2ed44e1d40c68fd7f1711289f44432f119a91a81b,True,False,
GBEmp50DrpGl,https://www.bestbottles.com/product/empire-design-50-ml-glass-bottle-white-dropper-shiny-gold-collar-cap,18-415,,Clear,50,b8bd5b687144247fec434f6182dd197ec40d2cfda4b97e8181afc443955e86dd,True,False,
GBElg60SpryMtGl,https://www.bestbottles.com/product/elegant-design-60-ml-glass-bottle-matte-gold-spray-pump-and-cap,18-415,,Clear,60,12711d336d413a067b5c0d7d132d75b5f511b0f9d4153a391143c34d16c059b9,True,False,
GBElg60AnSpRed,https://www.bestbottles.com/product/elegant-design-60-ml-glass-bottle-red-vintage-style-bulb-sprayer-shiny-silver-collar-cap,18-415,,Clear,60,705e5a6e943885a391a5ac164a2f9854ba7ab4d984425558503c8a5d9cb82742,True,True,
GBGrce55SpryCu,https://www.bestbottles.com/product/grace-design-55-ml-glass-bottle-matte-copper-spray-and-cap,18-415,,Clear,55,a7c98df647262953f5858ae6ceb71c32fc375bc0ba653f20a2c6f28acb2a4a8f,True,False,
GBElg15Sl,https://www.bestbottles.com/product/elegant-design-15-ml-glass-bottle-shiny-silver-cap,13-415,,Clear,15,d5a887645aed50ccd1ce69fc502e213ccb7b1fb782b58ff7372aa17a3e2680f3,True,False,
GBEmp100RdcrShnSl,https://www.bestbottles.com/product/empire-design-100-ml-glass-bottle-reducer-shiny-silver-cap,18-415,,Clear,100,bc52099b68d633157a8ceb4dfcdb9e62c80f5245401f44d2e57007cf40d0ae98,True,False,
GBElg60SpryShnSl,https://www.bestbottles.com/product/elegant-design-60-ml-glass-bottle-shiny-silver-spray-and-cap,18-415,,Clear,60,5938fe0b863294ae8e2e2475d75f831aed9a137248d00ee2e587635e8801feb8,True,False,
GBElg60AnSpTslLvn,https://www.bestbottles.com/product/elegant-design-60-ml-glass-bottle-lavender-vintage-style-sprayer-with-tassel-shiny-silver-collar,18-415,,Clear,60,475ecc24eb743a886702b78dc4ec3f0ce33ae800d1a15a14eb4d5b6e2e99ad04,True,False,
GBRoyal13BlkSht,https://www.bestbottles.com/product/royal-design-13-ml-glass-bottle-short-black-cap,13-415,,Clear,13,ec49f24aec9e4ab790d987e1bd288f73e161d1b26163c004fad2d060bde3fef7,True,False,
GBDmnd2ozSpryCu,https://www.bestbottles.com/product/diamond-design-2-oz-glass-bottle-matte-copper-spray-and-cap,18-415,,Clear,60,766f64d20a336475fd7e8dd1ce8acead656c9123cfe9495a2c0205ff0cc2c586,True,False,
GBElg15WhtSht,https://www.bestbottles.com/product/elegant-design-15-ml-glass-bottle-short-white-cap,13-415,,Clear,15,2ae57535d87a04094c13297daf0a0871a54ddd8f0f8067ddbd26c11fc2a2248f,True,False,
