sku,family,capacityMl,glass,neck,fitment,finish,visible,blockers,componentSku,componentIfPublicationIgnored,componentSellableReason,assemblySellableReason,visibleIfStandalonePublicationIgnored,sourceUrl
"GBElg15RollBlkSh","Elegant","15","Clear","13-415","Plastic Roller Ball","Shiny Black","false","assembly_unpublished_or_unsellable","CPRoll13-415BlkSh","CPRoll13-415BlkSh","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/elegant-design-15-ml-glass-bottle-plastic-roller-ball-plug-black-shiny-cap"
"GBElg15RollCuMatt","Elegant","15","Clear","13-415","Plastic Roller Ball","Matte Copper","false","assembly_unpublished_or_unsellable","CPRoll13-415Cu","CPRoll13-415Cu","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/elegant-design-15-ml-glass-bottle-plastic-roller-ball-plug-matte-copper-cap"
"GBElg15RollGlMatt","Elegant","15","Clear","13-415","Plastic Roller Ball","Matte Gold","false","assembly_unpublished_or_unsellable","CPRoll13-415GlMt","CPRoll13-415GlMt","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/elegant-design-15-ml-glass-bottle-plastic-roller-ball-plug-matte-gold-cap"
"GBElgFrst15RollSlDot","Elegant","15","Frosted","13-415","Plastic Roller Ball","Silver","false","media_or_configuration_invalid","CPRoll13-415SlDot","CPRoll13-415SlDot","","","false","https://www.bestbottles.com/product/elegant-design-15-ml-frosted-glass-bottle-plastic-roller-ball-plug-silver-cap-with-dots"
"GBElgFrst15RollPinkDot","Elegant","15","Frosted","13-415","Plastic Roller Ball","Clear","false","media_or_configuration_invalid","CPRoll13-415PinkDot","CPRoll13-415PinkDot","","","false","https://www.bestbottles.com/product/elegant-design-15-ml-frosted-glass-bottle-plastic-roller-ball-plug-pink-cap-with-dots"
"GBElgFrst15RollSlMatt","Elegant","15","Frosted","13-415","Plastic Roller Ball","Matte Silver","false","media_or_configuration_invalid","CPRoll13-415SlMt","CPRoll13-415SlMt","","","false","https://www.bestbottles.com/product/elegant-design-15-ml-frosted-glass-bottle-plastic-roller-ball-plug-matte-silver-cap"
"GBElgFrst15RollGlSh","Elegant","15","Frosted","13-415","Plastic Roller Ball","Shiny Gold","false","media_or_configuration_invalid","CPRoll13-415GlSh","CPRoll13-415GlSh","","","false","https://www.bestbottles.com/product/elegant-design-15-ml-frosted-glass-bottle-plastic-roller-ball-plug-shiny-gold-cap"
"GBElgFrst15RollSlSh","Elegant","15","Frosted","13-415","Plastic Roller Ball","Silver","false","media_or_configuration_invalid","CPRoll13-415SlSh","CPRoll13-415SlSh","","","false","https://www.bestbottles.com/product/elegant-design-15-ml-frosted-glass-bottle-plastic-roller-ball-plug-shiny-silver-cap"
"GBElgFrst15RollCuMatt","Elegant","15","Frosted","13-415","Plastic Roller Ball","Matte Copper","false","media_or_configuration_invalid","CPRoll13-415Cu","CPRoll13-415Cu","","","false","https://www.bestbottles.com/product/elegant-design-15-ml-frosted-glass-bottle-plastic-roller-ball-plug-matte-copper-cap"
"GBElgFrst15RollBlkSh","Elegant","15","Frosted","13-415","Plastic Roller Ball","Black","false","media_or_configuration_invalid","CPRoll13-415BlkSh","CPRoll13-415BlkSh","","","false","https://www.bestbottles.com/product/elegant-design-15-ml-frosted-glass-bottle-plastic-roller-ball-plug-black-shiny-cap"
"GBElg15SpryBlkMatt","Elegant","15","Clear","13-415","Fine Mist Sprayer","Matte Black","false","standalone_component_unpublished | assembly_unpublished_or_unsellable","","CP13-415SpryBlkMt","STATUS_DRAFT+NOT_PUBLISHED","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/elegant-design-15-ml-glass-bottle-matte-black-spray"
"GBElgFrst15SpryBlkMatt","Elegant","15","Frosted","13-415","Fine Mist Sprayer","Black","false","standalone_component_unpublished","","CP13-415SpryBlkMt","STATUS_DRAFT+NOT_PUBLISHED","","false","https://www.bestbottles.com/product/elegant-design-15-ml-frosted-glass-bottle-matte-black-spray"
"GBElg100RdcrMtSl","Elegant","100","Clear","18-415","Reducer","Matte Silver","false","assembly_unpublished_or_unsellable","CP18-415MtSl","CP18-415MtSl","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/elegant-design-105-ml-glass-bottle-reducer-silver-matte-cap"
"GBElg100RdcrShnSl","Elegant","100","Clear","18-415","Reducer","Shiny Silver","false","assembly_unpublished_or_unsellable","CP18-415ShnSl","CP18-415ShnSl","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/elegant-design-105-ml-glass-bottle-reducer-shiny-silver-cap"
"GBElg100RdcrIvyLthr","Elegant","100","Clear","18-415","Reducer","Ivory Leather","false","assembly_unpublished_or_unsellable","CP18-415LIvyLthr","CP18-415LIvyLthr","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/elegant-design-105-ml-glass-bottle-reducer-ivory-faux-leather-cap"
"GBElg100RdcrPnkLthr","Elegant","100","Clear","18-415","Reducer","Pink Leather","false","assembly_unpublished_or_unsellable","CP18-415LPnkLthr","CP18-415LPnkLthr","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/elegant-design-105-ml-glass-bottle-reducer-pink-faux-leather-cap"
"GBElg100RdcrShnGl","Elegant","100","Clear","18-415","Reducer","Shiny Gold","false","assembly_unpublished_or_unsellable","CP18-415ShnGl","CP18-415ShnGl","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/elegant-design-105-ml-glass-bottle-reducer-shiny-gold-cap"
"GBElg100RdcrShnBlkTall","Elegant","100","Clear","18-415","Reducer","Shiny Black","false","assembly_unpublished_or_unsellable","CP18-415ShnBlkTall","CP18-415ShnBlkTall","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/elegant-design-105-ml-glass-bottle-reducer-tall-black-shiny-cap"
"GBElg100RdcrShnBlk","Elegant","100","Clear","18-415","Reducer","Shiny Black","false","exact_component_unresolved | assembly_unpublished_or_unsellable","","","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/elegant-design-105-ml-glass-bottle-reducer-black-shiny-cap"
"GBElg100RdcrLBrwnLthr","Elegant","100","Clear","18-415","Reducer","Light Brown Leather","false","assembly_unpublished_or_unsellable","CP18-415LBrwnLthr","CP18-415LBrwnLthr","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/elegant-design-105-ml-glass-bottle-reducer-light-brown-faux-leather-cap"
"GBElg100RdcrMtSlTall","Elegant","100","Clear","18-415","Reducer","Matte Silver","false","assembly_unpublished_or_unsellable","CP18-415MtSlTall","CP18-415MtSlTall","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/elegant-design-105-ml-glass-bottle-reducer-tall-silver-matte-cap"
"GBElg100RdcrWht","Elegant","100","Clear","18-415","Reducer","White","false","assembly_unpublished_or_unsellable","CP18-415Wh","CP18-415Wh","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/elegant-design-105-ml-glass-bottle-reducer-white-cap"
"GBElg100RdcrBrwnLthr","Elegant","100","Clear","18-415","Reducer","Brown Leather","false","assembly_unpublished_or_unsellable","CP18-415BrwnLthr","CP18-415BrwnLthr","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/elegant-design-105-ml-glass-bottle-reducer-brown-faux-leather-cap"
"GBElgFrst100RdcrShnBlk","Elegant","100","Frosted","18-415","Reducer","Shiny Black","false","exact_component_unresolved | assembly_unpublished_or_unsellable","","","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/elegant-design-105-ml-frosted-glass-bottle-reducer-black-shiny-cap"
"GBElgFrst100RdcrWht","Elegant","100","Frosted","18-415","Reducer","White","false","assembly_unpublished_or_unsellable","CP18-415Wh","CP18-415Wh","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/elegant-design-105-ml-frosted-glass-bottle-reducer-white-cap"
