graceSku,itemName,field,convex,master_v83
GB-CYL-FRS-9ML-S-02,"Tall cylinder design 9ml, 1/3oz frosted glass bottle with sh",capStyle,Tall,Short
ACC-RCB-4X8,4inches x 8inches Recloseable Plastic Bags. 100 pieces per p,category,Packaging,Other
GB-SLM-CLR-30ML-SPR-MGLD,"Slim design 30 ml, 1oz  clear glass bottle  with matte gold ",capStyle,Spray,Screw Cap
CMP-SPR-SSLV-15-415,"Shiny Silver Fine Mist Sprayer, Thread size 15-415",category,Component,Other
GB-CYL-CLR-9ML-ROL-PKDT-02,"Tall cylinder design 9ml, 1/3oz Clear glass bottle with plas",capStyle,Tall,Dot Cap
LB-ELG-FRS-60ML-LPM-SSLV,"Elegant design 60 ml, 2oz frosted glass bottle with shiny si",category,Glass Bottle,Lotion Bottle
LB-CIR-FRS-100ML-LPM-COCP,"Circle design 100 ml, 3 1/2oz frosted glass bottle with with",category,Glass Bottle,Lotion Bottle
PKG-BOX-WHT-4X4X4,Corrugated Box 4 x 4 x 4. 32 lbs ECT,category,Packaging,Packaging Box
CMP-SPR-MTBL-13-415-07,"Matte blue Fine Mist Sprayer, Thread size 13-415",family,Sprayer,Component
CMP-SPR-MTBL-13-415-07,"Matte blue Fine Mist Sprayer, Thread size 13-415",capColor,Blue,Matte Blue
CMP-SPR-MTBL-13-415-07,"Matte blue Fine Mist Sprayer, Thread size 13-415",dataGrade,B — no color,A
CMP-SPR-MTBL-13-415-07,"Matte blue Fine Mist Sprayer, Thread size 13-415",diameter,17 ±0.5 mm,22
CMP-SPR-MTBL-13-415-07,"Matte blue Fine Mist Sprayer, Thread size 13-415",heightWithCap,32 ±0.5 mm,20
GB-CYL-CLR-9ML-MRL-BKDT-02,"Tall cylinder design 9ml, 1/3oz Clear glass bottle with meta",capStyle,Tall,Dot Cap
LB-LTB-CLR-30ML-SLV-T,Clear Glass Lotion Bottle with Silver Top and Base.Capacity:,category,Glass Bottle,Lotion Bottle
GB-CIR-CLR-100ML-RDC-PNK,"Circle design 100 ml, 3 1/2oz  clear glass bottle  with redu",capColor,Pink Leather,Pink
GB-CIR-CLR-100ML-RDC-PNK,"Circle design 100 ml, 3 1/2oz  clear glass bottle  with redu",heightWithoutCap,105 ±2 mm,92 ±1 mm
CMP-SPR-IVSL-18-415-04,Ivory Silver Antique or Vintage style bulb sprayer with silv,family,Sprayer,Component
CMP-SPR-IVSL-18-415-04,Ivory Silver Antique or Vintage style bulb sprayer with silv,capColor,Ivory,Ivory Silver
CMP-SPR-IVSL-18-415-04,Ivory Silver Antique or Vintage style bulb sprayer with silv,dataGrade,B — no color,A
CMP-SPR-IVSL-18-415-04,Ivory Silver Antique or Vintage style bulb sprayer with silv,diameter,65 ±1 mm,22
CMP-SPR-IVSL-18-415-04,Ivory Silver Antique or Vintage style bulb sprayer with silv,heightWithCap,38 ±0.5 mm,20
GB-RCT-CLR-10ML-ROL-SBLK-02,"Tall rectangular design 10ml, 1/3oz Clear glass bottle with ",capStyle,Tall,Roll-On
GB-ELG-CLR-15ML-SPR-SGLD-02,Elegant 15 ml (0.51 oz) Clear Glass Bottle with Sprayer Shin,capStyle,Spray,Screw Cap
GB-CYL-CLR-100ML-AST-IVSL,"Cylinder design 100 ml, 3 1/2oz  clear glass bottle  with Iv",capColor,Ivory,Ivory Silver
LB-GRC-CLR-55ML-LPM-COCP,"Grace design 55 ml, 1.85oz clear glass bottle with with a ma",category,Glass Bottle,Lotion Bottle
GB-CYL-CLR-9ML-ROL-SLDT-02,"Tall cylinder design 9ml, 1/3oz Clear glass bottle with plas",capStyle,Tall,Dot Cap
