websiteSku,graceSku,convexFamily,convexThread,sourceGroup,retired,productUrl
AnSp18-415Red__RETIRED__CMP-SPR-RDSL-18-415-02__kd79de1mhnabh8e7ms4gbwfet181tz25,CMP-SPR-RDSL-18-415-02,Sprayer,18-415,Vintage bulb or alias for review,True,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-red
AnSp18-415Wht,CMP-SPR-WHT-18-415-01,Sprayer,18-415,Vintage bulb or alias for review,False,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-white
AnSp18-415Wht__RETIRED__CMP-SPR-SLWH-18-415-02__kd7dq0dhka01wge6eepfy1hgq981vc5c,CMP-SPR-SLWH-18-415-02,Sprayer,18-415,Vintage bulb or alias for review,True,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-white
AnSpTsl18-415Blk,CMP-SPR-BLK-18-415-02,Sprayer,18-415,Vintage bulb with tassel,False,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-Black-Tassel
AnSpTsl18-415Blk__RETIRED__CMP-SPR-BKSLWH-18-415-02__kd762fh1ne0kk95wvr3r07g3x181tjfy,CMP-SPR-BKSLWH-18-415-02,Sprayer,18-415,Vintage bulb with tassel,True,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-Black-Tassel
AnSpTsl18-415IvyGl,CMP-SPR-IVGD-18-415-02,Sprayer,18-415,Vintage bulb with tassel,False,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-ivory-gold-Tassel
AnSpTsl18-415IvyGl__RETIRED__CMP-SPR-GDIVSLWH-18-415-02__kd7dm97dts1cys39frk415gs0s81v3pn,CMP-SPR-GDIVSLWH-18-415-02,Sprayer,18-415,Vintage bulb with tassel,True,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-ivory-gold-Tassel
AnSpTsl18-415IvySl,CMP-SPR-IVSL-18-415-02,Sprayer,18-415,Vintage bulb with tassel,False,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-ivory-silver-Tassel
AnSpTsl18-415IvySl__RETIRED__CMP-SPR-IVSLWH-18-415-02__kd7djxwjjp841tfepxgj0bty2n81tkn0,CMP-SPR-IVSLWH-18-415-02,Sprayer,18-415,Vintage bulb with tassel,True,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-ivory-silver-Tassel
AnSpTsl18-415Lvn,CMP-SPR-LVN-18-415-02,Sprayer,18-415,Vintage bulb with tassel,False,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-lavender-Tassel
