environment,family,sku,body,capacity,neck,glass,fitment,finish,visible,candidate,component,issue,sellable,stock,kit_completeness,kit_slots,kit_conflicts
live,Cylinder,LBCylSwrl9LtnMtSl,cylinder-9ml|17-415|Glass Bottle,9,17-415,Swirl,Lotion Pump,Matte Silver,True,True,Ltn17-415MattSl,,True,In Stock,full,body | pump | overcap | collar,[]
live,Cylinder,LBCylSwrl9LtnGl,cylinder-9ml|17-415|Glass Bottle,9,17-415,Swirl,Lotion Pump,Gold,True,True,Ltn17-415Gl,,True,In Stock,full,body | pump | overcap | collar,[]
live,Cylinder,GBCyl5RollBlkDot,cylinder-5ml|13-415|Glass Bottle,5,13-415,Clear,Plastic Roller Ball,Black with Dots,True,True,CPRoll13-415BlackDot,,True,In Stock,full,body | roller | cap,[]
live,Cylinder,GBCyl5RollSlSh,cylinder-5ml|13-415|Glass Bottle,5,13-415,Clear,Plastic Roller Ball,Shiny Silver,True,True,CPRoll13-415SlSh,,True,In Stock,capSplit,body | roller | cap,[]
live,Cylinder,LBCyl25LtnMtGl,cylinder-25ml|18-415|Glass Bottle,25,18-415,Clear,Lotion Pump,Matte Gold,False,False,,compatibility_unresolved,True,In Stock,,,[]
live,Cylinder,LBCyl25LtnShnGl,cylinder-25ml|18-415|Glass Bottle,25,18-415,Clear,Lotion Pump,Shiny Gold,False,False,,compatibility_unresolved,True,In Stock,,,[]
live,Cylinder,GBCyl5RollBlkSh,cylinder-5ml|13-415|Glass Bottle,5,13-415,Clear,Plastic Roller Ball,Shiny Black,True,True,CPRoll13-415BlkSh,,True,In Stock,capSplit,body | roller | cap,[]
live,Cylinder,GBCylBlu5RollBlkDot,cylinder-5ml|13-415|Glass Bottle,5,13-415,Cobalt Blue,Plastic Roller Ball,Black with Dots,False,True,CPRoll13-415BlackDot,media_unavailable,True,In Stock,capSplit,body | roller | cap,[]
live,Cylinder,LBCyl25LtnShnBlk,cylinder-25ml|18-415|Glass Bottle,25,18-415,Clear,Lotion Pump,Shiny Black,False,False,,compatibility_unresolved,True,In Stock,,,[]
live,Cylinder,GBCyl5RollGlSh,cylinder-5ml|13-415|Glass Bottle,5,13-415,Clear,Plastic Roller Ball,Shiny Gold,True,True,CPRoll13-415GlSh,,True,In Stock,capSplit,body | roller | cap,[]
live,Cylinder,LBCyl25LtnMtSl,cylinder-25ml|18-415|Glass Bottle,25,18-415,Clear,Lotion Pump,Matte Silver,False,False,,compatibility_unresolved,True,In Stock,,,[]
live,Cylinder,GBCyl5RollSlDot,cylinder-5ml|13-415|Glass Bottle,5,13-415,Clear,Plastic Roller Ball,Silver with Dots,True,True,CPRoll13-415SlDot,,True,In Stock,capSplit,body | roller | cap,[]
live,Cylinder,LBCyl25LtnShnSl,cylinder-25ml|18-415|Glass Bottle,25,18-415,Clear,Lotion Pump,Shiny Silver,False,False,,compatibility_unresolved,True,In Stock,,,[]
live,Cylinder,GBCyl5RollPinkDot,cylinder-5ml|13-415|Glass Bottle,5,13-415,Clear,Plastic Roller Ball,Pink with Dots,True,True,CPRoll13-415PinkDot,,True,In Stock,capSplit,body | roller | cap,[]
live,Cylinder,LBCyl25LtnCu,cylinder-25ml|18-415|Glass Bottle,25,18-415,Clear,Lotion Pump,Copper,False,False,,compatibility_unresolved,True,In Stock,,,[]
