sku,graceSku,family,capacityMl,glass,neck,fitment,finish,builderVisible,completeness,slots,flags,visualApproval
"GBCrclFrst100RdcrMtSl","GB-CIR-FRS-100ML-RDC-MSLV","Circle","100","Frosted","18-415","Reducer","Matte Silver","true","full","body | cap","","pending_exact_source_and_render_review"
"GBCrclFrst100RdcrWht","GB-CIR-FRS-100ML-RDC-WHT","Circle","100","Frosted","18-415","Reducer","White","true","full","body | cap","","pending_exact_source_and_render_review"
"GBCrcl50SpryMtSl","GB-CIR-CLR-50ML-SPR-MSLV","Circle","50","Clear","18-415","Perfume Spray Pump","Matte Silver","true","full","body | diptube | sprayer | overcap","","pending_exact_source_and_render_review"
"GBCrcl50SpryMtGl","GB-CIR-CLR-50ML-SPR-MGLD","Circle","50","Clear","18-415","Perfume Spray Pump","Matte Gold","true","full","body | diptube | sprayer | overcap","","pending_exact_source_and_render_review"
"GBCrcl50SpryShnGl","GB-CIR-CLR-50ML-SPR-SGLD","Circle","50","Clear","18-415","Perfume Spray Pump","Shiny Gold","true","full","body | diptube | sprayer | overcap","","pending_exact_source_and_render_review"
"GBCrcl50SpryShnBlk","GB-CIR-CLR-50ML-SPR-SBLK","Circle","50","Clear","18-415","Perfume Spray Pump","Shiny Black","true","full","body | diptube | sprayer | overcap","","pending_exact_source_and_render_review"
"GBCrcl50SpryShnSl","GB-CIR-CLR-50ML-SPR-SSLV","Circle","50","Clear","18-415","Perfume Spray Pump","Shiny Silver","true","full","body | diptube | sprayer | overcap","","pending_exact_source_and_render_review"
"GBCrclFrst50SpryMtGl","GB-CIR-FRS-50ML-SPR-MGLD","Circle","50","Frosted","18-415","Perfume Spray Pump","Matte Gold","true","full","body | diptube | sprayer | overcap","","pending_exact_source_and_render_review"
"GBCrclFrst50SpryShnGl","GB-CIR-FRS-50ML-SPR-SGLD","Circle","50","Frosted","18-415","Perfume Spray Pump","Shiny Gold","true","full","body | diptube | sprayer | overcap","","pending_exact_source_and_render_review"
"GBCrclFrst50SpryShnBlk","GB-CIR-FRS-50ML-SPR-SBLK","Circle","50","Frosted","18-415","Perfume Spray Pump","Shiny Black","true","full","body | diptube | sprayer | overcap","","pending_exact_source_and_render_review"
"GBCrclFrst50SpryMtSl","GB-CIR-FRS-50ML-SPR-MSLV","Circle","50","Frosted","18-415","Perfume Spray Pump","Matte Silver","true","full","body | diptube | sprayer | overcap","","pending_exact_source_and_render_review"
"GBCrcl15SpryBlkMatt","GB-CIR-CLR-15ML-SPR-MBLK","Circle","15","Clear","13-415","Fine Mist Sprayer","Matte Black","true","full","body | diptube | sprayer | overcap","","pending_exact_source_and_render_review"
"GBCrclFrst50SpryShnSl","GB-CIR-FRS-50ML-SPR-SSLV","Circle","50","Frosted","18-415","Perfume Spray Pump","Shiny Silver","true","full","body | diptube | sprayer | overcap","","pending_exact_source_and_render_review"
"GBCrcl30SpryBlk","GB-CIR-BLK-30ML-SPR-BLK","Circle","30","Clear","15-415","Perfume Spray Pump","Black","true","full","body | diptube","mechanism_not_separate_review_source","pending_exact_source_and_render_review"
"GBCrcl50SpryCu","GB-CIR-CLR-50ML-SPR-CPR","Circle","50","Clear","18-415","Perfume Spray Pump","Copper","true","full","body | diptube | sprayer | overcap","","pending_exact_source_and_render_review"
"GBCrcl50DrpSl","GB-CIR-CLR-50ML-DRP-SLV","Circle","50","Clear","18-415","Dropper","Silver","true","full","body | pipette","","pending_exact_source_and_render_review"
