role,sku,family,status,desktopCandidates,clientCandidates,sourceUrl
assembly,GBRnd78AnSpPnk,Round,"source candidates located; identity, layers and per-bottle fit require review",,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /9. Round 78ml/1. Round 78ml PSD/34. GBRnd78AnSpPnk.psd,https://www.bestbottles.com/product/round-design-78-ml-glass-bottle-pink-vintage-style-bulb-sprayer-shiny-gold-collar-cap
assembly,GBRnd78AnSpLvn,Round,"source candidates located; identity, layers and per-bottle fit require review",,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /9. Round 78ml/1. Round 78ml PSD/33. GBRnd78AnSpLvn.psd,https://www.bestbottles.com/product/round-design-78-ml-glass-bottle-lavender-vintage-style-bulb-sprayer-shiny-silver-collar-cap
assembly,GBRnd78AnSpIvyGl,Round,"source candidates located; identity, layers and per-bottle fit require review",,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /9. Round 78ml/1. Round 78ml PSD/38. GBRnd78AnSpIvyGl.psd,https://www.bestbottles.com/product/round-design-78-ml-glass-bottle-ivory-vintage-style-bulb-sprayer-shiny-gold-collar-cap
assembly,GBRnd78AnSpGl,Round,"source candidates located; identity, layers and per-bottle fit require review",,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /9. Round 78ml/1. Round 78ml PSD/37. GBRnd78AnSpGl.psd,https://www.bestbottles.com/product/round-design-78-ml-glass-bottle-gold-vintage-style-sprayer-shiny-gold-collar-cap
assembly,GBRnd78RdcrBlkLthr,Round,"source candidates located; identity, layers and per-bottle fit require review",,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /9. Round 78ml/1. Round 78ml PSD/4. GBRnd78RdcrBlkLthr.psd,https://www.bestbottles.com/product/round-design-78-ml-glass-bottle-reducer-black-faux-leather-cap
assembly,GBRnd78AnSpIvySl,Round,"source candidates located; identity, layers and per-bottle fit require review",,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /9. Round 78ml/1. Round 78ml PSD/36. GBRnd78AnSpIvySl.psd,https://www.bestbottles.com/product/round-design-78-ml-glass-bottle-ivory-vintage-style-bulb-sprayer-shiny-silver-collar-cap
assembly,GBRndFrst78RdcrBlkLthr,Round,"source candidates located; identity, layers and per-bottle fit require review",,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /8. Round 78ml Frosted/1. Round Frst 78ml Psd/4. GBRndFrst78RdcrBlkLthr.psd,https://www.bestbottles.com/product/round-design-78-ml-frosted-glass-bottle-reducer-black-faux-leather-cap
assembly,GBRnd128RdcrIvyLthr,Round,"source candidates located; identity, layers and per-bottle fit require review",,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /7. Round (clear) 128ml /1. Round (clear) 128ml  Psd/55. GBRnd128RdcrIvyLthr.psd,https://www.bestbottles.com/product/round-design-128-ml-glass-bottle-reducer-ivory-faux-leather-cap
assembly,GBRnd78AnSpRed,Round,"source candidates located; identity, layers and per-bottle fit require review",,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /9. Round 78ml/1. Round 78ml PSD/41. GBRnd78AnSpRed.psd,https://www.bestbottles.com/product/round-design-78-ml-glass-bottle-red-vintage-style-bulb-sprayer-shiny-silver-collar-cap
assembly,GBRnd128RdcrShnGl,Round,"source candidates located; identity, layers and per-bottle fit require review",,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /7. Round (clear) 128ml /1. Round (clear) 128ml  Psd/1. GBRnd128RdcrShnGl.psd,https://www.bestbottles.com/product/round-design-128-ml-glass-bottle-reducer-shiny-gold-cap
assembly,GBRnd78AnSpMtSl,Round,"source candidates located; identity, layers and per-bottle fit require review",,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /9. Round 78ml/1. Round 78ml PSD/35. GBRnd78AnSpMtSl.psd,https://www.bestbottles.com/product/round-design-78-ml-glass-bottle-matte-silver-vintage-style-sprayer-matte-silver-collar-cap
