sku,family,capacityMl,glass,neck,fitment,finish,visible,blockers,componentSku,componentSellableReason,assemblySellableReason,componentStandaloneSellable,sourceUrl
"GBCrcl100AnSpTslMtSl","Circle","100","Clear","18-415","Vintage Bulb Sprayer with Tassel","Matte Silver","true","","AnSpTsl18-415MtS","","","true","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-matte-silver-vintage-style-sprayer-with-tassel-matte-silver-collar"
"GBCrclFrst100AnSpGl","Circle","100","Frosted","18-415","Vintage Bulb Sprayer","Shiny Gold","true","","AnSp18-415Gl","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-gold-vintage-style-sprayer-shiny-gold-collar-cap"
"GBCrclFrst100AnSpIvyGl","Circle","100","Frosted","18-415","Vintage Bulb Sprayer","Ivory Gold","true","","AnSp18-415IvyGl","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-ivory-vintage-style-bulb-sprayer-shiny-gold-collar-cap"
"GBCrclFrst100AnSpLvn","Circle","100","Frosted","18-415","Vintage Bulb Sprayer","Lavender","true","","AnSp18-415Lvn","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-lavender-vintage-style-bulb-sprayer-shiny-silver-collar-cap"
"GBCrclFrst100AnSpPnk","Circle","100","Frosted","18-415","Vintage Bulb Sprayer","Pink","true","","CP18-415AnSpPnk","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-pink-vintage-style-bulb-sprayer-shiny-gold-collar-cap"
"GBCrclFrst100AnSpRed","Circle","100","Frosted","18-415","Vintage Bulb Sprayer","Red","true","","AnSp18-415Red","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-red-vintage-style-bulb-sprayer-shiny-silver-collar-cap"
"GBCrclFrst100AnSpMtSl","Circle","100","Frosted","18-415","Vintage Bulb Sprayer","Matte Silver","true","","AnSp18-415MtSl","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-matte-silver-vintage-style-sprayer-matte-silver-collar-cap"
"GBCrclFrst100AnSpWht","Circle","100","Frosted","18-415","Vintage Bulb Sprayer","White","true","","AnSp18-415Wht","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-white-vintage-style-bulb-sprayer-shiny-silver-collar-cap"
"GBCrclFrst100AnSpIvySl","Circle","100","Frosted","18-415","Vintage Bulb Sprayer","Ivory Silver","true","","AnSp18-415IvySl","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-ivory-vintage-style-bulb-sprayer-shiny-silver-collar-cap"
"GBCrclFrst100AnSpTslIvyGl","Circle","100","Frosted","18-415","Vintage Bulb Sprayer with Tassel","Ivory Gold","true","","AnSpTsl18-415IvyGl","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-ivory-vintage-style-sprayer-with-tassel-shiny-gold-collar"
"GBCrclFrst100AnSpTslIvySl","Circle","100","Frosted","18-415","Vintage Bulb Sprayer with Tassel","Frosted","true","","AnSpTsl18-415IvySl","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-ivory-vintage-style-sprayer-with-tassel-shiny-silver-collar"
"GBCrclFrst100AnSpTslGl","Circle","100","Frosted","18-415","Vintage Bulb Sprayer with Tassel","Gold","true","","CP18-415AnSpTslGl","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-gold-vintage-style-sprayer-with-tassel-shiny-gold-collar"
"GBCrclFrst100AnSpTslLvn","Circle","100","Frosted","18-415","Vintage Bulb Sprayer with Tassel","Frosted","true","","AnSpTsl18-415Lvn","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-lavender-vintage-style-sprayer-with-tassel-shiny-silver-collar"
"GBCrclFrst100AnSpTslPnk","Circle","100","Frosted","18-415","Vintage Bulb Sprayer with Tassel","Frosted","true","","AnSpTsl18-415Pnk","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-pink-vintage-style-sprayer-with-tassel-shiny-gold-collar"
"GBCrclFrst100AnSpTslRed","Circle","100","Frosted","18-415","Vintage Bulb Sprayer with Tassel","Frosted","false","media_or_configuration_invalid","AnSpTsl18-415Red","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-red-vintage-style-sprayer-with-tassel-shiny-silver-collar"
