sku,capacityMl,neck,glass,fitment,finish,catalogCandidate,structuralConfigurationReady,structuralBlockers,componentSku,artworkWarnings,localRecovery,stockReconciliationPending,releaseStatus
GBCyl5WhtSht,5,13-415,Clear,Cap/Closure,Short Ribbed White,True,True,,CP13-415WhtSht,,,False,not deployed
GBCylSwrl9MtlRollWht,9,17-415,Swirl,Plastic Roller Ball,White,True,True,,CpRoll17-415White,,,False,not deployed
GBCylSwrl9RollWht,9,17-415,Swirl,Plastic Roller Ball,White,True,False,media_or_configuration_invalid,CpRoll17-415White,,candidate-needs-visual-review,False,not deployed
GBTallCyl9WhtSht,9,13-415,Clear,,Short Ribbed White,True,True,,CP13-415WhtSht,,,False,not deployed
GBCylBlu5CuSht,5,13-415,Cobalt Blue,Cap/Closure,Short Matte Copper,True,True,,CP13-415CuSht,,,False,not deployed
GBCylBlu5GlMattSht,5,13-415,Cobalt Blue,Cap/Closure,Short Matte Gold,True,True,,CP13-415GlMattSht,,,False,not deployed
GBCylBlu5SlMattSht,5,13-415,Cobalt Blue,Cap/Closure,Short Matte Silver,True,True,,CP13-415SlMattSht,,,False,not deployed
GBCylBlu5GlSht,5,13-415,Cobalt Blue,Cap/Closure,Short Shiny Gold,True,True,,CP13-415GlSht,,,False,not deployed
GBCylBlu5SlSht,5,13-415,Cobalt Blue,Cap/Closure,Short Shiny Silver,True,True,,CP13-415SlSht,,,False,not deployed
GBCyl5CuSht,5,13-415,Clear,Cap/Closure,Short Matte Copper,True,True,,CP13-415CuSht,,,False,not deployed
GBCyl5GlMattSht,5,13-415,Clear,Cap/Closure,Short Matte Gold,True,True,,CP13-415GlMattSht,,,False,not deployed
GBCyl5SlMattSht,5,13-415,Clear,Cap/Closure,Short Matte Silver,True,True,,CP13-415SlMattSht,,,False,not deployed
GBCyl5BlkShSht,5,13-415,Clear,Cap/Closure,Short Shiny Black,True,True,,CP13-415BlkShShtMtl,,,False,not deployed
GBCyl5GlSht,5,13-415,Clear,Cap/Closure,Short Shiny Gold,True,True,,CP13-415GlSht,,,False,not deployed
GBCyl5SlSht,5,13-415,Clear,Cap/Closure,Short Shiny Silver,True,True,,CP13-415SlSht,,,False,not deployed
GBTallCylFrst9CuSht,9,13-415,Frosted,,Matte Copper,True,True,,CP13-415CuSht,,,False,not deployed
GBTallCylFrst9GlMattSht,9,13-415,Frosted,,Matte Gold,True,True,,CP13-415GlMattSht,,,False,not deployed
GBTallCylFrst9SlMattSht,9,13-415,Frosted,,Matte Silver,True,True,,CP13-415SlMattSht,,,False,not deployed
GBTallCylFrst9BlkShSht,9,13-415,Frosted,,Shiny Black,True,True,,CP13-415BlkShShtMtl,,,False,not deployed
GBTallCylFrst9GlSht,9,13-415,Frosted,,Shiny Gold,True,True,,CP13-415GlSht,,,False,not deployed
GBTallCylFrst9SlSht,9,13-415,Frosted,,Shiny Silver,True,True,,CP13-415SlSht,,,False,not deployed
GBTallCyl9CuSht,9,13-415,Clear,,Matte Copper,True,True,,CP13-415CuSht,,,False,not deployed
GBTallCyl9SlMattSht,9,13-415,Clear,,Matte Silver,True,True,,CP13-415SlMattSht,,,False,not deployed
GBTallCyl9BlkShSht,9,13-415,Clear,,Shiny Black,True,True,,CP13-415BlkShShtMtl,,,False,not deployed
GBTallCyl9GlSht,9,13-415,Clear,,Shiny Gold,True,True,,CP13-415GlSht,,,False,not deployed
GBTallCyl9SlSht,9,13-415,Clear,,Shiny Silver,True,True,,CP13-415SlSht,,,False,not deployed
GBTallCyl9GlMattSht,9,13-415,Clear,,Matte Gold,True,True,,CP13-415GlMattSht,,,False,not deployed
GBCyl25AnSpBlk,25,18-415,Clear,Vintage Bulb Sprayer,Black / Shiny Silver Collar,True,True,,AnSp18-415Blk,,,False,not deployed
GBCyl25AnSpGl,25,18-415,Clear,Vintage Bulb Sprayer,Gold / Shiny Gold Collar,True,True,,AnSp18-415Gl,,,False,not deployed
GBCyl25AnSpTslIvySl,25,18-415,Clear,Vintage Bulb Sprayer with Tassel,Ivory / Shiny Silver Collar,True,True,,AnSpTsl18-415IvySl,,,False,not deployed
GBCyl25AnSpTslMtSl,25,18-415,Clear,Vintage Bulb Sprayer with Tassel,Matte Silver / Matte Silver Collar,True,True,,AnSpTsl18-415MtS,,,False,not deployed
GBCyl25AnSpTslRed,25,18-415,Clear,Vintage Bulb Sprayer with Tassel,Red / Shiny Silver Collar,True,True,,AnSpTsl18-415Red,,,False,not deployed
GBCyl25AnSpTslWht,25,18-415,Clear,Vintage Bulb Sprayer with Tassel,White / Shiny Silver Collar,True,True,,AnSpTsl18-415Wht,,,False,not deployed
GBCyl25DrpCu,25,18-415,Clear,Dropper,Matte Copper,True,True,,Drp18-415Cu,,,False,not deployed
GBCyl25DrpGl,25,18-415,Clear,Dropper,Shiny Gold,True,True,,Drp18-415Gl,,,False,not deployed
GBCyl25DrpSl,25,18-415,Clear,Dropper,Shiny Silver,True,True,,Drp18-415Sl,,,False,not deployed
GBCyl25RdcrIvyLthr,25,18-415,Clear,Reducer,Ivory Faux Leather,True,True,,CP18-415LIvyLthr,,,False,not deployed
GBCyl25RdcrShnGl,25,18-415,Clear,Reducer,Shiny Gold,True,True,,CP18-415ShnGl,,,False,not deployed
GBcyl25AnSpIvyGl,25,18-415,Clear,Vintage Bulb Sprayer,Ivory / Shiny Gold Collar,True,True,,AnSp18-415IvyGl,,,False,not deployed
GBcyl25AnSpIvySl,25,18-415,Clear,Vintage Bulb Sprayer,Ivory / Shiny Silver Collar,True,True,,AnSp18-415IvySl,,,False,not deployed
GBcyl25AnSpLvn,25,18-415,Clear,Vintage Bulb Sprayer,Lavender / Shiny Silver Collar,True,True,,AnSp18-415Lvn,,,False,not deployed
GBcyl25AnSpMtSl,25,18-415,Clear,Vintage Bulb Sprayer,Matte Silver / Matte Silver Collar,True,True,,AnSp18-415MtSl,,,False,not deployed
GBcyl25AnSpPnk,25,18-415,Clear,Vintage Bulb Sprayer,Pink / Shiny Gold Collar,True,True,,CP18-415AnSpPnk,,,False,not deployed
GBcyl25AnSpRed,25,18-415,Clear,Vintage Bulb Sprayer,Red / Shiny Silver Collar,True,True,,AnSp18-415Red,,,False,not deployed
GBcyl25AnSpTslBlk,25,18-415,Clear,Vintage Bulb Sprayer with Tassel,Black / Shiny Silver Collar,True,True,,AnSpTsl18-415Blk,,,False,not deployed
GBcyl25AnSpTslGl,25,18-415,Clear,Vintage Bulb Sprayer with Tassel,Gold / Shiny Gold Collar,True,True,,CP18-415AnSpTslGl,,,False,not deployed
GBcyl25AnSpTslIvyGl,25,18-415,Clear,Vintage Bulb Sprayer with Tassel,Ivory / Shiny Gold Collar,True,True,,AnSpTsl18-415IvyGl,,,False,not deployed
GBcyl25AnSpTslLvn,25,18-415,Clear,Vintage Bulb Sprayer with Tassel,Lavender / Shiny Silver Collar,True,True,,AnSpTsl18-415Lvn,,,False,not deployed
GBcyl25AnSpTslPnk,25,18-415,Clear,Vintage Bulb Sprayer with Tassel,Pink / Shiny Gold Collar,True,True,,AnSpTsl18-415Pnk,,,False,not deployed
GBcyl25AnSpWht,25,18-415,Clear,Vintage Bulb Sprayer,White / Shiny Silver Collar,True,True,,AnSp18-415Wht,,,False,not deployed
GBcyl25RdcrBlkLthr,25,18-415,Clear,Reducer,Black Faux Leather,True,True,,CP18-415BlkLthr,,,False,not deployed
GBcyl25RdcrBrwnLthr,25,18-415,Clear,Reducer,Brown Faux Leather,True,True,,CP18-415BrwnLthr,,,False,not deployed
GBcyl25RdcrLBrwnLthr,25,18-415,Clear,Reducer,Light Brown Faux Leather,True,True,,CP18-415LBrwnLthr,,,False,not deployed
GBcyl25RdcrMtSl,25,18-415,Clear,Reducer,Matte Silver,True,True,,CP18-415MtSl,,,False,not deployed
GBcyl25RdcrMtSlTall,25,18-415,Clear,Reducer,Tall Matte Silver,True,True,,CP18-415MtSlTall,,,False,not deployed
GBcyl25RdcrPnkLthr,25,18-415,Clear,Reducer,Pink Faux Leather,True,True,,CP18-415LPnkLthr,,,False,not deployed
GBcyl25RdcrShnBlk,25,18-415,Clear,Reducer,Shiny Black,True,True,,GBcyl25RdcrShnBlk,,,False,not deployed
GBcyl25RdcrShnBlkTall,25,18-415,Clear,Reducer,Tall Shiny Black,True,True,,CP18-415ShnBlkTall,,,False,not deployed
GBcyl25RdcrShnSl,25,18-415,Clear,Reducer,Shiny Silver,True,True,,CP18-415ShnSl,,,False,not deployed
GBcyl25RdcrWht,25,18-415,Clear,Reducer,White,True,True,,CP18-415Wh,,,False,not deployed
GBcyl25SpryCu,25,18-415,Clear,Fine Mist Sprayer,Matte Copper,True,True,,Spry18-415Cu,,,False,not deployed
GBcyl25SpryMtGl,25,18-415,Clear,Fine Mist Sprayer,Matte Gold,True,True,,Spry18-415MtGl,missing_exposed_mechanism,25ml paired source kit,False,not deployed
GBcyl25SpryShnGl,25,18-415,Clear,Fine Mist Sprayer,Shiny Gold,True,True,,Spry18-415ShnGl,missing_exposed_mechanism,25ml paired source kit,False,not deployed
GBcyl25SpryShnSl,25,18-415,Clear,Fine Mist Sprayer,Shiny Silver,True,True,,Spry18-415ShnSl,missing_exposed_mechanism,25ml paired source kit,False,not deployed
