sku,capacityMl,neck,glass,fitment,finish,catalogCandidate,structuralConfigurationReady,structuralBlockers,componentSku,artworkWarnings,localRecovery,stockReconciliationPending,releaseStatus
LBCylFrst9LtnGl,9,17-415,Frosted,Lotion Pump,Gold,True,True,,Ltn17-415Gl,missing_dip_tube,,False,not deployed
LBCylSwrl9LtnMtSl,9,17-415,Swirl,Lotion Pump,Matte Silver,True,True,,Ltn17-415MattSl,missing_dip_tube,,False,not deployed
LBCylSwrl9LtnGl,9,17-415,Swirl,Lotion Pump,Gold,True,True,,Ltn17-415Gl,missing_dip_tube,,False,not deployed
GBCyl5RollBlkDot,5,13-415,Clear,Plastic Roller Ball,Black with Dots,False,False,assembly_stock_unavailable,CPRoll13-415BlackDot,,,True,not deployed
GBCyl5RollSlSh,5,13-415,Clear,Plastic Roller Ball,Shiny Silver,False,False,assembly_stock_unavailable,CPRoll13-415SlSh,,,True,not deployed
LBCyl25LtnMtGl,25,18-415,Clear,Lotion Pump,Matte Gold,True,True,,Ltn18-415MtGl,missing_exposed_mechanism,25ml paired source kit,False,not deployed
LBCyl25LtnShnGl,25,18-415,Clear,Lotion Pump,Shiny Gold,True,True,,Ltn18-415ShnGl,missing_exposed_mechanism,25ml paired source kit,False,not deployed
GBCyl5RollBlkSh,5,13-415,Clear,Plastic Roller Ball,Shiny Black,False,False,assembly_stock_unavailable,CPRoll13-415BlkSh,,,True,not deployed
GBCylBlu5RollBlkDot,5,13-415,Cobalt Blue,Plastic Roller Ball,Black with Dots,True,True,,CPRoll13-415BlackDot,,,False,not deployed
LBCyl25LtnShnBlk,25,18-415,Clear,Lotion Pump,Shiny Black,True,True,,Ltn18-415ShnBlk,missing_exposed_mechanism,25ml paired source kit,False,not deployed
GBCyl5RollGlSh,5,13-415,Clear,Plastic Roller Ball,Shiny Gold,False,False,assembly_stock_unavailable,CPRoll13-415GlSh,,,True,not deployed
LBCyl25LtnMtSl,25,18-415,Clear,Lotion Pump,Matte Silver,True,True,,Ltn18-415MtSl,missing_exposed_mechanism,25ml paired source kit,False,not deployed
GBCyl5RollSlDot,5,13-415,Clear,Plastic Roller Ball,Silver with Dots,False,False,assembly_stock_unavailable,CPRoll13-415SlDot,,,True,not deployed
LBCyl25LtnShnSl,25,18-415,Clear,Lotion Pump,Shiny Silver,True,True,,Ltn18-415ShnSl,missing_exposed_mechanism,25ml paired source kit,False,not deployed
GBCyl5RollPinkDot,5,13-415,Clear,Plastic Roller Ball,Pink with Dots,False,False,assembly_stock_unavailable,CPRoll13-415PinkDot,,,True,not deployed
LBCyl25LtnCu,25,18-415,Clear,Lotion Pump,Copper,True,True,,Ltn18-415Cu,,,False,not deployed
GBCyl5RollCuMatt,5,13-415,Clear,Plastic Roller Ball,Matte Copper,False,False,assembly_stock_unavailable,CPRoll13-415Cu,,,True,not deployed
GBCylAmb9RollBlkDot,9,17-415,Amber,Plastic Roller Ball,Black Dotted,False,False,assembly_stock_unavailable,CpRoll17-415BlkDot,,,True,not deployed
GBCyl100AnSpBlk,100,18-415,Clear,Vintage Bulb Sprayer,Black,True,True,,AnSp18-415Blk,,,False,not deployed
GBCyl5RollGlMatt,5,13-415,Clear,Plastic Roller Ball,Matte Gold,False,False,assembly_stock_unavailable,CPRoll13-415GlMt,,,True,not deployed
GBCyl100AnSpTslBlk,100,18-415,Clear,Vintage Bulb Sprayer with Tassel,Black,True,True,,AnSpTsl18-415Blk,,,False,not deployed
GBCyl5RollSlMatt,5,13-415,Clear,Plastic Roller Ball,Matte Silver,False,False,assembly_stock_unavailable,CPRoll13-415SlMt,,,True,not deployed
GBCylBlu9RollBlkDot,9,17-415,Cobalt Blue,Plastic Roller Ball,Black Dotted,True,True,,CpRoll17-415BlkDot,,,False,not deployed
GBCylFrst9RollBlkDot,9,17-415,Frosted,Plastic Roller Ball,Black Dotted,True,True,,CpRoll17-415BlkDot,,,False,not deployed
