graceSku,websiteSku,family,itemName,color,capacity,coverageSource,coverageEvidenceUrl,referencePath
CJ-JAR-CLR-5ML-CLR,CJClr5mlClrCap,Cream Jar,"Plastic, cream jar style 5 ml clear bottle with clear cap Small trial or sample size. Great for promotions. Price each",Clear,5 ml (0.17 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/d4cd4ae9-a9a8-4ea6-ab6f-fd1e19078e5e/paper-doll/master_corrected_1779532182701_iqk7bq.png,
GB-RYL-CLR-13ML-MRL-MGLD,GBRoyal13MtlRollGlMatt,Royal,"Royal design 13ml, 1/2oz Clear glass bottle with metal roller ball plug and matte gold cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Price each",Clear,13 ml (0.44 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/best-bottles/reference-images/GB-RYL-CLR-13ML-MRL-MGLD__GBRoyal13MtlRollGlMatt__pdp-main__v001.png,
GB-ELG-FRS-15ML-SPR-SGLD-02,GBElgFrst15SpryGlSh,Elegant,Elegant 15 ml (0.51 oz) Frosted Glass Bottle with Sprayer Shiny Gold Cap,Frosted,15 ml (0.51 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/best-bottles/reference-images/GB-ELG-FRS-15ML-SPR-SGLD-02__GBElgFrst15SpryGlSh__pdp-main__v001.png,
LB-CIR-FRS-100ML-LPM-MGLD,LBCrclFrst100LtnMtGl,Circle,"Circle design 100 ml, 3 1/2oz frosted glass bottle with matte gold lotion pump. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Circle design is a famiily of bottles availa",Frosted,100 ml (3.38 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/d4cd4ae9-a9a8-4ea6-ab6f-fd1e19078e5e/best-bottles/reference-imports/Circle/LB-CIR-FRS-100ML-LPM-MGLD_1779525205521_36w89a.png,
GB-DEC-CLR-6ML-S,GBTulip6BlkSht,Tulip,"Tulip design 6ml, 1/5oz Clear glass bottle with short black cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, Small sized bottle for decants, promotion, samples and travel accessory. Price each",Clear,6 ml (0.2 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/best-bottles/reference-images/GB-DEC-CLR-6ML-S__GBTulip6BlkSht__pdp-main__v001.png,
GB-RYL-CLR-13ML-MRL-SGLD,GBRoyal13MtlRollGlSh,Royal,"Royal design 13ml, 1/2oz Clear glass bottle with metal roller ball plug and shiny gold cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Price each",Clear,13 ml (0.44 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/best-bottles/reference-images/GB-RYL-CLR-13ML-MRL-SGLD__GBRoyal13MtlRollGlSh__pdp-main__v001.png,
GB-ELG-FRS-15ML-SPR-MSLV-02,GBElgFrst15SprySlMatt,Elegant,Elegant 15 ml (0.51 oz) Frosted Glass Bottle with Sprayer Matte Silver Cap,Frosted,15 ml (0.51 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/best-bottles/reference-images/GB-ELG-FRS-15ML-SPR-MSLV-02__GBElgFrst15SprySlMatt__pdp-main__v001.png,
LB-CIR-FRS-100ML-LPM-SGLD,LBCrclFrst100LtnShnGl,Circle,"Circle design 100 ml, 3 1/2oz frosted glass bottle with shiny gold lotion pump. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Circle design is a famiily of bottles availa",Frosted,100 ml (3.38 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/d4cd4ae9-a9a8-4ea6-ab6f-fd1e19078e5e/best-bottles/reference-imports/Circle/LB-CIR-FRS-100ML-LPM-SGLD_1779525202563_e2w5gg.png,
GB-BSR-AMB-60ML-BLK-T-02,GBBstnAmb2ozBlkDrpr,Boston Round,"Boston round design 2 ounce amber glass bottle with black dropper, price each",Amber,60 ml (2.03 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/d4cd4ae9-a9a8-4ea6-ab6f-fd1e19078e5e/best-bottles/reference-imports/Boston-Round/GB-BSR-AMB-60ML-BLK-T-02_1779650214878_q3nww8.png,
GB-RYL-CLR-13ML-MRL-PKDT,GBRoyal13MtlRollPinkDot,Royal,"Royal design 13ml, 1/2oz Clear glass bottle with metal roller ball plug and pink cap with dots. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Price",Clear,13 ml (0.44 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/best-bottles/reference-images/GB-RYL-CLR-13ML-MRL-PKDT__GBRoyal13MtlRollPinkDot__pdp-main__v001.png,
