graceSku,websiteSku,family,itemName,color,capacity,coverageSource,coverageEvidenceUrl,referencePath
GB-DMD-CLR-60ML-AST-IVGD,GBDmnd2ozAnSpTslIvyGl,Diamond,"Diamond design 60ml, 2 ounce  clear glass bottle  with Ivory vintage style bulb sprayer with tassel with shiny gold collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhanc",Clear,60 ml (2.03 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779530282057_i4jnpq_89015061-5cdf-40c5-b00f-b0e740b45257.png?v=1779531046,
GB-BSR-AMB-30ML-RBL-SBLK,GBBstnAmb1ozRollonShnBlk,Boston Round,"Cylinder design 30ml,1 oz Amber glass bottle with plastic roller ball plug and shiny black cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Price each",Amber,30 ml (1.01 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779651608256_fllr8n.png?v=1779661042,
GB-DVA-CLR-30ML-SPR-CPR,GBDiva30SpryCu,Diva,"Diva design 30 ml, 1oz  clear glass bottle  with matte copper spray pump. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray. Our Classic Diva bottle family is available in 30ml, 46ml and 100ml. Price each",Clear,30 ml (1.01 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779517949713_72wkt9_1518fb1d-8582-4459-a264-2ac58c5abb7a.png?v=1779526070,
GB-DMD-CLR-60ML-AST-IVSL,GBDmnd2ozAnSpTslIvySl,Diamond,"Diamond design 60ml, 2 ounce  clear glass bottle  with Ivory vintage style bulb sprayer with tassel with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enha",Clear,60 ml (2.03 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779530342094_uc0b3b_af130574-2f44-4351-921d-be971844051a.png?v=1779531042,
GB-BSR-BLU-30ML-RON-MBLK,GBBstnBlu1ozRollonMattBlk,Boston Round,"Boston round design 30ml, 1oz Cobalt blue glass bottle with plastic roller ball plug and matte black cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable bottle with large, 12mm diameter roller ball. Price",Cobalt Blue,30 ml (1.01 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779651993517_skipxm.png?v=1779661021,
GB-GRC-CLR-55ML-SPR-MGLD,GBGrce55SpryMtGl,Grace,"Grace design 55 ml, 1.85oz  clear glass bottle  with matte gold spray pump. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray. A unique design to enhance your product. Price each",Clear,55 ml (1.86 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/1779490341770-a3fa0402-a378-4d96-838d-cde9c77bae9f.png?v=1779490394,
GB-DMD-CLR-60ML-AST-LVN,GBDmnd2ozAnSpTslLvn,Diamond,"Diamond design 60ml, 2 ounce  clear glass bottle  with Lavender vintage style bulb sprayer with tassel with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers e",Clear,60 ml (2.03 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779530404689_89cmrn_9e7c836c-efc5-4011-809f-85cbf84737bf.png?v=1779531037,
GB-BSR-CBL-30ML-RBL-MSLV,GBBstnBlu1ozRollonMattSl,Boston Round,"Boston round design 30ml, 1oz Cobalt blue glass bottle with plastic roller ball plug and matte silver cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable bottle with large, 12mm diameter roller ball. Pric",Cobalt Blue,30 ml (1.01 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779652048050_6pnzl6.png?v=1779661017,
GB-GRC-CLR-55ML-SPR-SGLD,GBGrce55SpryShnGl,Grace,"Grace design 55 ml, 1.85oz  clear glass bottle  with shiny gold spray pump. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray. A unique design to enhance your product. Price each",Clear,55 ml (1.86 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779487384082_rgrdih.png?v=1779487840,
GB-DMD-CLR-60ML-AST-PNK,GBDmnd2ozAnSpTslPnk,Diamond,"Diamond design 60ml, 2 ounce  clear glass bottle  with Pink vintage style bulb sprayer with tassel with shiny gold collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance",Clear,60 ml (2.03 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779530467567_1geug2_5234904a-8fa8-4738-a8f5-2f5226d6c5a9.png?v=1779531032,
GB-BSR-BLU-30ML-RON-SSLV,GBBstnBlu1ozRollonShnSl,Boston Round,"Boston round design 30ml, 1oz Cobalt blue glass bottle with plastic roller ball plug and shiny silver cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable bottle with large, 12mm diameter roller ball. Pric",Cobalt Blue,30 ml (1.01 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779652095708_33tehc.png?v=1779661013,
GB-GRC-CLR-55ML-SPR-SBLK,GBGrce55SpryShnBlk,Grace,"Grace design 55 ml, 1.85oz  clear glass bottle  with shiny black spray pump. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray. A unique design to enhance your product. Price each",Clear,55 ml (1.86 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779487436513_t7zq06.png?v=1779487836,
GB-DMD-CLR-60ML-AST-RED,GBDmnd2ozAnSpTslRed,Diamond,"Diamond design 60ml, 2 ounce  clear glass bottle  with Red vintage style bulb sprayer with tassel with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhanc",Clear,60 ml (2.03 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779530529870_3426yj_9b253ead-667c-44e2-a08f-0def1eb81c13.png?v=1779531028,
GB-BSR-BLU-30ML-RON-MGLD,GBBstnBlu1ozRollonMattGl,Boston Round,"Boston round design 30ml, 1oz Cobalt blue glass bottle with plastic roller ball plug and matte gold cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable bottle with large, 12mm diameter roller ball. Price",Cobalt Blue,30 ml (1.01 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779652145610_777lne.png?v=1779661009,
GB-GRC-CLR-55ML-SPR-MSLV,GBGrce55SpryMtSl,Grace,"Grace design 55 ml, 1.85oz  clear glass bottle  with matte silver spray pump. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray. A unique design to enhance your product. Price each",Clear,55 ml (1.86 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779487492847_3d1c50.png?v=1779487832,
GB-DMD-CLR-60ML-AST-WHT,GBDmnd2ozAnSpTslWht,Diamond,"Diamond design 60ml, 2 ounce  clear glass bottle  with White vintage style bulb sprayer with tassel with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enha",Clear,60 ml (2.03 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779530593445_i2tr82_af5f05ca-981c-4099-b052-9ed2f309bbac.png?v=1779531023,
GB-BSR-CBL-30ML-RBL-SBLK,GBBstnBlu1ozRollonShnBlk,Boston Round,"Cylinder design 30ml,1 oz Blue glass bottle with plastic roller ball plug and shiny black cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Price each",Cobalt Blue,30 ml (1.01 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779652198723_r9r2y0.png?v=1779661005,
