grace_sku,neck_finish,capacity_ml,height_mm,height_capped_mm,diameter_mm,width_mm,depth_mm,page
Alu250mlSprayblack,20-410,250.0,155.0,178.0,50.0,,,https_www_bestbottles_com_product_Cylinder_shaped_matte_aluminum_250ml_bottle_black_sprayer.html
Drp18-40015mlBlckBulb,18-400,0.0,,33.0,21.0,,,https_www_bestbottles_com_product_Dropper_black_rubber_bulb_black_trim_glass_Pipette_15ml.html
Drp18-40015mlShnGlTrimBlkBulb,18-400,0.0,,33.0,21.0,,,https_www_bestbottles_com_product_Dropper_black_rubber_bulb_gold_trim_glass_Pipette_15ml.html
Drp18-40015mlShnSlTrimBlkBulb,18-400,0.0,,33.0,21.0,,,https_www_bestbottles_com_product_Dropper_black_rubber_silver_trim_bulb_glass_Pipette_15ml.html
Drp20-4002ozBlckBulb,20-400,0.0,,32.0,22.0,,,https_www_bestbottles_com_product_Dropper_glass_Black_Rubber_Bulb_black_trim7x89.html
Drp20-4001ozBlckBulb,20-400,0.0,,32.0,22.0,,,https_www_bestbottles_com_product_Dropper_glass_Black_Rubber_Bulb_black_trim_7x76.html
Drp20-4001ozShnGlTrimBlkBulb,20-400,0.0,,33.0,23.0,,,https_www_bestbottles_com_product_Dropper_glass_Black_Rubber_Bulb_gold_trim_7x76.html
Drp20-4002ozShnGlTrimBlkBulb,20-400,0.0,,32.0,23.0,,,https_www_bestbottles_com_product_Dropper_glass_Black_Rubber_Bulb_gold_trim_7x89.html
Drp20-4001ozShnSlTrimBlkBulb,20-400,0.0,,33.0,23.0,,,https_www_bestbottles_com_product_Dropper_glass_Black_Rubber_Bulb_silver_trim_7x76.html
Drp20-4002ozShnSlTrimBlkBulb,20-400,0.0,,32.0,23.0,,,https_www_bestbottles_com_product_Dropper_glass_Black_Rubber_Bulb_silver_trim_7x89.html
Drp20-4002ozWhiteBulb,20-400,0.0,,32.0,22.0,,,https_www_bestbottles_com_product_Dropper_glass_White_Rubber_Bulb_white_trim_7x89.html
Drp20-4001ozlShnGlTrimWhiteBulb,20-400,0.0,,33.0,23.0,,,https_www_bestbottles_com_product_Dropper_glass_white_Rubber_Bulb_gold_trim7x76.html
Drp20-4002ozlShnGlTrimWhiteBulb,20-400,0.0,,32.0,23.0,,,https_www_bestbottles_com_product_Dropper_glass_white_Rubber_Bulb_gold_trim_7x89.html
Drp20-4001ozlShnSlTrimWhiteBulb,20-400,0.0,,33.0,23.0,,,https_www_bestbottles_com_product_Dropper_glass_white_Rubber_Bulb_silver_trim_7x76.html
Drp20-4002ozlShnSlTrimWhiteBulb,20-400,0.0,,32.0,23.0,,,https_www_bestbottles_com_product_Dropper_glass_white_Rubber_Bulb_silver_trim_7x89.html
Drp20-4001ozWhiteBulb,20-400,0.0,,32.0,22.0,,,https_www_bestbottles_com_product_Dropper_glass_white_Rubber_Bulb_white_trim_7x76.html
Drp18-415Gl,18-415,0.0,,39.0,23.0,,,https_www_bestbottles_com_product_Dropper_white_rubber_bulb_gold_trim_glass_Pipette.html
Drp18-40015mlShnGlTrimWhiteBulb,18-400,0.0,,33.0,21.0,,,https_www_bestbottles_com_product_Dropper_white_rubber_bulb_gold_trim_glass_Pipette_15ml.html
Drp18-415Sl,18-415,0.0,,39.0,23.0,,,https_www_bestbottles_com_product_Dropper_white_rubber_bulb_silver_trim_glass_Pipette.html
Drp18-40015mlShnSlTrimWhiteBulb,18-400,0.0,,33.0,21.0,,,https_www_bestbottles_com_product_Dropper_white_rubber_bulb_silver_trim_glass_Pipette_15ml.html
Drp18-40015mlWhiteBulb,18-400,0.0,,33.0,21.0,,,https_www_bestbottles_com_product_Dropper_white_rubber_bulb_white_trim_glass_Pipette_15ml.html
