body_key,samples,cross_section,height_bare_mm,height_capped_mm,diameter_mm,width_mm,depth_mm,major_axis_mm,body_ratio,dims_confidence,dims_source,notes
cap-closure-30ml-press-fit,0,round,,20.0,22.0,,,22.0,,none,convex export (no live data),
cap-closure-40ml-48-400,1,round,42.0,47.0,56.0,,,56.0,0.75,low,live bestbottles.com,single page
cap-closure-40ml-press-fit,0,round,,20.0,22.0,,,22.0,,none,convex export (no live data),
cap-closure-5ml-press-fit,0,round,,20.0,22.0,,,22.0,,none,convex export (no live data),
cap-component-0ml-13-415,0,unknown,,17.0,,,,,,none,convex export (no live data),
cap-component-0ml-17-415,0,unknown,,27.0,,,,,,none,convex export (no live data),
circle-100ml-18-415,86,flat,105.0,130.0,,89.0,29.0,89.0,1.18,high,live bestbottles.com,
circle-15ml-13-415,30,round,60.0,72.0,50.0,,17.0,50.0,1.2,high,live bestbottles.com,
circle-30ml-15-415,7,flat,74.0,100.0,,60.0,20.0,60.0,1.23,high,live bestbottles.com,
circle-50ml-18-400,1,flat,87.0,101.0,,72.0,23.0,72.0,1.21,low,live bestbottles.com,single page
circle-50ml-18-415,81,flat,87.0,115.0,72.0,72.0,23.0,72.0,1.21,verified,live bestbottles.com GBCrcl50AnSpBlk,convex mode matched exactly
cream-jar-15ml-37mm,2,flat,31.0,31.0,48.0,48.0,,48.0,0.65,low,live bestbottles.com,bare height spread 26.0-31.0mm; diameter spread 48.0-55.0mm; width spread 48.0-55.0mm
cream-jar-20ml-40mm,1,round,33.9,29.0,55.0,,,55.0,0.62,low,convex export (no live data),single page
cream-jar-30ml-45mm,3,flat,35.0,40.0,52.0,52.0,,52.0,0.67,high,live bestbottles.com,
cream-jar-3ml-20mm,2,flat,18.0,20.0,35.0,35.0,,35.0,0.51,low,live bestbottles.com,bare height spread 18.0-22.0mm
cream-jar-40ml-48-400,3,flat,42.0,47.0,56.0,56.0,,56.0,0.75,high,live bestbottles.com,
cream-jar-5ml-27mm,2,flat,16.0,18.0,31.0,31.0,,31.0,0.52,low,live bestbottles.com,bare height spread 16.0-24.0mm
cream-jar-5ml-37mm,1,flat,24.0,28.0,31.0,31.0,,31.0,0.77,low,live bestbottles.com,single page
cream-jar-5ml-press-fit,1,round,24.0,28.0,31.0,,,31.0,0.77,low,convex export (no live data),single page
cream-jar-60ml-58mm,1,round,51.0,57.0,59.0,,,59.0,0.86,low,live bestbottles.com,single page
cream-jar-63ml-58mm,1,round,51.0,57.0,59.0,,,59.0,0.86,low,convex export (no live data),single page
cylinder-100ml-18-415,43,round,154.0,195.0,35.0,,,35.0,4.4,high,live bestbottles.com,
cylinder-118ml-nofinish,1,round,116.0,124.0,41.0,,,41.0,2.83,low,live bestbottles.com,single page
