websiteSku,graceSku,family,capacityMl,neckThreadSize,applicator,category,color,capColor,capStyle,productUrl,retired
GBCyl5MtlRollSlSh,GB-CYL-CLR-5ML-MRL-SSLV,Cylinder,5.0,13-415,Metal Roller Ball,Glass Bottle,Clear,Shiny Silver,Roll-On,https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-metal-roller-ball-plug-shiny-silver-cap,False
GBCyl5RollBlkDot,GB-CYL-CLR-5ML-ROL-BKDT,Cylinder,5.0,13-415,Plastic Roller Ball,Glass Bottle,Clear,Black with Dots,Dot Cap,https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-plastic-roller-ball-plug-black-shiny-cap-with-dots,False
GBCyl5RollBlkSh,GB-CYL-CLR-5ML-ROL-SBLK,Cylinder,5.0,13-415,Plastic Roller Ball,Glass Bottle,Clear,Shiny Black,Roll-On,https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-plastic-roller-ball-plug-black-shiny-cap,False
GBCyl5RollCuMatt,GB-CYL-CLR-5ML-ROL-MCPR,Cylinder,5.0,13-415,Plastic Roller Ball,Glass Bottle,Clear,Matte Copper,Roll-On,https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-plastic-roller-ball-plug-matte-copper-cap,False
GBCyl5RollGlMatt,GB-CYL-CLR-5ML-ROL-MGLD,Cylinder,5.0,13-415,Plastic Roller Ball,Glass Bottle,Clear,Matte Gold,Screw Cap,https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-plastic-roller-ball-plug-matte-gold-cap,False
GBCyl5RollGlSh,GB-CYL-CLR-5ML-ROL-SGLD,Cylinder,5.0,13-415,Plastic Roller Ball,Glass Bottle,Clear,Shiny Gold,Screw Cap,https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-plastic-roller-ball-plug-shiny-gold-cap,False
GBCyl5RollPinkDot,GB-CYL-CLR-5ML-ROL-PKDT,Cylinder,5.0,13-415,Plastic Roller Ball,Glass Bottle,Clear,Pink with Dots,Dot Cap,https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-plastic-roller-ball-plug-pink-cap-with-dots,False
GBCyl5RollSlDot,GB-CYL-CLR-5ML-ROL-SLDT,Cylinder,5.0,13-415,Plastic Roller Ball,Glass Bottle,Clear,Silver with Dots,Dot Cap,https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-plastic-roller-ball-plug-silver-cap-with-dots,False
GBCyl5RollSlMatt,GB-CYL-CLR-5ML-ROL-MSLV,Cylinder,5.0,13-415,Plastic Roller Ball,Glass Bottle,Clear,Matte Silver,Roll-On,https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-plastic-roller-ball-plug-matte-silver-cap,False
GBCyl5RollSlSh,GB-CYL-CLR-5ML-ROL-SSLV,Cylinder,5.0,13-415,Plastic Roller Ball,Glass Bottle,Clear,Shiny Silver,Roll-On,https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-plastic-roller-ball-plug-shiny-silver-cap,False
GBCyl5Sl,GB-CYL-CLR-5ML-SLV-T,Cylinder,5.0,13-415,Cap/Closure,Glass Bottle,Clear,Regular Shiny Silver,,https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-shiny-silver-cap,False
GBCyl5SlMattSht,GB-CYL-CLR-5ML-MSLV-S,Cylinder,5.0,13-415,Cap/Closure,Glass Bottle,Clear,Short Matte Silver,,,False
GBCyl5SlSht,GB-CYL-CLR-5ML-SSLV-S,Cylinder,5.0,13-415,Cap/Closure,Glass Bottle,Clear,Short Shiny Silver,,,False
GBCyl5SpryBlkSh,GB-CYL-CLR-5ML-SPR-SBLK,Cylinder,5.0,13-415,Fine Mist Sprayer,Glass Bottle,Clear,Shiny Black,Spray,https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-shiny-black-spray,False
GBCyl5SpryBluMatt,GB-CYL-CLR-5ML-SPR-MBLU,Cylinder,5.0,13-415,Fine Mist Sprayer,Glass Bottle,Clear,Matte Blue,Spray,https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-matte-blue-spray,False
