family,product_group_slug,sku,website_sku,product_media_count,issue,recommended_next_action,convex_image_url,product_media_sample
Royal,royal-13ml-clear-13-415,GB-RYL-CLR-13ML-BLK-S,GBRoyal13BlkSht,2,shopify_product_media_present_but_variant_image_missing,"Review product media against reference; assign correct existing media if present, otherwise generate/upload correct variant image.",https://www.bestbottles.com/images/store/enlarged_pics/GBRoyal13BlkSht.gif,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-VIA-CLR-13ML-GLD-T__GBRoyal13Gl__pdp-main__v001.png?v=1781251870 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-VIA-CLR-13ML-SLV-T__GBRoyal13Sl__pdp-main__v001.png?v=1781251870
Flair,flair-15ml-clear-13-415,GB-FLR-CLR-15ML-BLK-S,GBFlair15BlkSht,2,shopify_product_media_present_but_variant_image_missing,"Review product media against reference; assign correct existing media if present, otherwise generate/upload correct variant image.",https://www.bestbottles.com/images/store/enlarged_pics/GBFlair15BlkSht.gif,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-VIA-CLR-15ML-GLD-T-01__GBFlair15Gl__pdp-main__v001.png?v=1781251942 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-VIA-CLR-15ML-SLV-T-01__GBFlair15Sl__pdp-main__v001.png?v=1781251942
Square,square-15ml-clear-13-415,GB-SQR-CLR-15ML-S,GBSqr15BlkSht,2,shopify_product_media_present_but_variant_image_missing,"Review product media against reference; assign correct existing media if present, otherwise generate/upload correct variant image.",https://www.bestbottles.com/images/store/enlarged_pics/GBSqr15BlkSht.gif,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-VIA-CLR-15ML-GLD-T-02__GBSqr15Gl__pdp-main__v001.png?v=1781251982 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-VIA-CLR-15ML-SLV-T-02__GBSqr15Sl__pdp-main__v001.png?v=1781251982
Sleek,sleek-100ml-clear-18-415-reducer,GB-SLK-CLR-100ML-RDC-IVLT,GBSlk100RdcrIvyLthr,4,shopify_product_media_present_but_variant_image_missing,"Review product media against reference; assign correct existing media if present, otherwise generate/upload correct variant image.",https://www.bestbottles.com/images/store/enlarged_pics/GBSlk100RdcrIvyLthr.gif,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-SLK-CLR-100ML-RDC-SBLK-01__GBSlk100RdcrShnBlk__pdp-main__v001_fdbce39d-f905-4751-8c5e-5585b86f639a.png?v=1781251974 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-SLK-CLR-100ML-RDC-MSLV-01__GBSlk100RdcrMtSl__pdp-main__v001_1e8b1fac-baf8-4a49-897f-ce119eefa34f.png?v=1781251974 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-SLK-CLR-100ML-RDC-MSLV-01__GBSlk100RdcrMtSl__pdp-main__v001.png?v=1781251974 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-SLK-CLR-100ML-RDC-SBLK-01__GBSlk100RdcrShnBlk__pdp-main__v001.png?v=1781251974
Flair,flair-15ml-clear-13-415,GB-VIA-WHT-15ML-WHT-S-01,GBFlair15WhtSht,2,shopify_product_media_present_but_variant_image_missing,"Review product media against reference; assign correct existing media if present, otherwise generate/upload correct variant image.",https://www.bestbottles.com/images/store/enlarged_pics/GBFlair15WhtSht.gif,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-VIA-CLR-15ML-GLD-T-01__GBFlair15Gl__pdp-main__v001.png?v=1781251942 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-VIA-CLR-15ML-SLV-T-01__GBFlair15Sl__pdp-main__v001.png?v=1781251942
Sleek,sleek-100ml-clear-18-415-reducer,GB-SLK-CLR-100ML-RDC-PKLT,GBSlk100RdcrPnkLthr,4,shopify_product_media_present_but_variant_image_missing,"Review product media against reference; assign correct existing media if present, otherwise generate/upload correct variant image.",https://www.bestbottles.com/images/store/enlarged_pics/GBSlk100RdcrPnkLthr.gif,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-SLK-CLR-100ML-RDC-SBLK-01__GBSlk100RdcrShnBlk__pdp-main__v001_fdbce39d-f905-4751-8c5e-5585b86f639a.png?v=1781251974 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-SLK-CLR-100ML-RDC-MSLV-01__GBSlk100RdcrMtSl__pdp-main__v001_1e8b1fac-baf8-4a49-897f-ce119eefa34f.png?v=1781251974 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-SLK-CLR-100ML-RDC-MSLV-01__GBSlk100RdcrMtSl__pdp-main__v001.png?v=1781251974 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-SLK-CLR-100ML-RDC-SBLK-01__GBSlk100RdcrShnBlk__pdp-main__v001.png?v=1781251974
Sleek,sleek-100ml-clear-18-415-reducer,GB-SLK-CLR-100ML-RDC-SGLD,GBSlk100RdcrShnGl,4,shopify_product_media_present_but_variant_image_missing,"Review product media against reference; assign correct existing media if present, otherwise generate/upload correct variant image.",https://www.bestbottles.com/images/store/enlarged_pics/GBSlk100RdcrShnGl.gif,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-SLK-CLR-100ML-RDC-SBLK-01__GBSlk100RdcrShnBlk__pdp-main__v001_fdbce39d-f905-4751-8c5e-5585b86f639a.png?v=1781251974 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-SLK-CLR-100ML-RDC-MSLV-01__GBSlk100RdcrMtSl__pdp-main__v001_1e8b1fac-baf8-4a49-897f-ce119eefa34f.png?v=1781251974 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-SLK-CLR-100ML-RDC-MSLV-01__GBSlk100RdcrMtSl__pdp-main__v001.png?v=1781251974 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-SLK-CLR-100ML-RDC-SBLK-01__GBSlk100RdcrShnBlk__pdp-main__v001.png?v=1781251974
Diva,diva-30ml-clear-18-415-reducer,GB-DVA-CLR-30ML-RDC-BKLT,GBDiva30RdcrBlkLthr,12,shopify_product_media_present_but_variant_image_missing,"Review product media against reference; assign correct existing media if present, otherwise generate/upload correct variant image.",https://cdn.shopify.com/s/files/1/0739/9420/7524/files/1778804355267-2cb57327-c2cd-499a-9541-e70c9b26f4f8_72ca4d5d-05dc-41a5-ba9b-81aa9e76661b.png?v=1779470692,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/1778804355267-2cb57327-c2cd-499a-9541-e70c9b26f4f8.png?v=1779012205 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/1778804978605-50376cd4-339c-4921-867f-3d7fb212594d.png?v=1779012167 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/1778804920919-e851ad30-0867-4a35-98c1-03fdb2c17a09.png?v=1779012170 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/1778804863815-115e563e-7849-4ab2-b2cc-ef9b56133664.png?v=1779012173 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/1778804813057-797f214d-ff8d-4a39-b796-f277db6b8219.png?v=1779012177
Sleek,sleek-100ml-clear-18-415-reducer,GB-SLK-CLR-100ML-RDC-SBLK-T,GBSlk100RdcrShnBlkTall,4,shopify_product_media_present_but_variant_image_missing,"Review product media against reference; assign correct existing media if present, otherwise generate/upload correct variant image.",https://www.bestbottles.com/images/store/enlarged_pics/GBSlk100RdcrShnBlkTall.gif,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-SLK-CLR-100ML-RDC-SBLK-01__GBSlk100RdcrShnBlk__pdp-main__v001_fdbce39d-f905-4751-8c5e-5585b86f639a.png?v=1781251974 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-SLK-CLR-100ML-RDC-MSLV-01__GBSlk100RdcrMtSl__pdp-main__v001_1e8b1fac-baf8-4a49-897f-ce119eefa34f.png?v=1781251974 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-SLK-CLR-100ML-RDC-MSLV-01__GBSlk100RdcrMtSl__pdp-main__v001.png?v=1781251974 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-SLK-CLR-100ML-RDC-SBLK-01__GBSlk100RdcrShnBlk__pdp-main__v001.png?v=1781251974
Sprayer,vintage-bulb-sprayer-with-tassel-18-415,CMP-SPR-GLD-18415-TSL,CP18-415AnSpTslGl,8,shopify_product_media_present_but_variant_image_missing,"Review product media against reference; assign correct existing media if present, otherwise generate/upload correct variant image.",https://www.bestbottles.com/images/store/enlarged_pics/AnSpTsl18-415Gl.gif,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/CMP-SPR-LVN-18-415-02__AnSpTsl18-415Lvn__pdp-main__v001.png?v=1781251923 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/CMP-SPR-IVGD-18-415-02__AnSpTsl18-415IvyGl__pdp-main__v001.png?v=1781251923 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/CMP-SPR-IVSL-18-415-02__AnSpTsl18-415IvySl__pdp-main__v001.png?v=1781251923 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/CMP-SPR-WHT-18-415-02__AnSpTsl18-415Wht__pdp-main__v001.png?v=1781251923 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/CMP-SPR-PNK-18-415__AnSpTsl18-415Pnk__pdp-main__v001.png?v=1781251923
