graceSku,websiteSku,productId,family,capacityMl,heightWithoutCap,heightWithCap,diameter,widthMm,depthMm,bottleWeightG,verified,measurementSource,importSource
GB-SLM-CLR-100ML-AST-PNK,GBSlm100AnSpTslPnk,BB-GB-100-0302,Slim,100,154 ±2 mm,175 ±2 mm,37 ±0.5 mm,37,37,95.83,true,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,case_weight_corrections_20260423
GB-SLM-CLR-100ML-AST-RED,GBSlm100AnSpTslRed,BB-GB-100-0303,Slim,100,154 ±2 mm,175 ±2 mm,37 ±0.5 mm,37,37,95.83,true,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,case_weight_corrections_20260423
GB-SLM-CLR-100ML-AST-WHT,GBSlm100AnSpTslWht,BB-GB-100-0304,Slim,100,154 ±2 mm,175 ±2 mm,37 ±0.5 mm,37,37,95.83,true,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,case_weight_corrections_20260423
GB-SLM-CLR-100ML-RDC-BKLT,GBSlm100RdcrBlkLthr,BB-GB-100-0306,Slim,100,154 ±2 mm,184 ±2 mm,37 ±0.5 mm,37,37,95.83,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLM-CLR-100ML-RDC-BRLT,GBSlm100RdcrBrwnLthr,BB-GB-100-0307,Slim,100,154 ±2 mm,184 ±2 mm,37 ±0.5 mm,37,37,95.83,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLM-CLR-100ML-RDC-IVLT,GBSlm100RdcrIvyLthr,BB-GB-100-0308,Slim,100,154 ±2 mm,184 ±2 mm,37 ±0.5 mm,37,37,95.83,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLM-CLR-100ML-RDC-LBLT,GBSlm100RdcrLBrwnLthr,BB-GB-100-0309,Slim,100,154 ±2 mm,184 ±2 mm,37 ±0.5 mm,37,37,95.83,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLM-CLR-100ML-RDC-MSLV,GBSlm100RdcrMtSl,BB-GB-100-0310,Slim,100,154 ±2 mm,158 ±2 mm,37 ±0.5 mm,37,37,95.83,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLM-CLR-100ML-RDC-MSLV-T,GBSlm100RdcrMtSlTall,BB-GB-100-0311,Slim,100,154 ±2 mm,165 ±2 mm,37 ±0.5 mm,37,37,95.83,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLM-CLR-100ML-RDC-PKLT,GBSlm100RdcrPnkLthr,BB-GB-100-0312,Slim,100,154 ±2 mm,184 ±2 mm,37 ±0.5 mm,37,37,95.83,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLM-CLR-100ML-RDC-SBLK,GBSlm100RdcrShnBlk,BB-GB-100-0313,Slim,100,154 ±2 mm,158 ±2 mm,37 ±0.5 mm,37,37,95.83,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLM-CLR-100ML-RDC-SBLK-T,GBSlm100RdcrShnBlkTall,BB-GB-100-0314,Slim,100,154 ±2 mm,165 ±2 mm,37 ±0.5 mm,37,37,95.83,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLM-CLR-100ML-RDC-SGLD,GBSlm100RdcrShnGl,BB-GB-100-0315,Slim,100,154 ±2 mm,165 ±2 mm,37 ±0.5 mm,37,37,95.83,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLM-CLR-100ML-RDC-SSLV,GBSlm100RdcrShnSl,BB-GB-100-0316,Slim,100,154 ±2 mm,158 ±2 mm,37 ±0.5 mm,37,37,95.83,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLM-CLR-100ML-RDC-WHT,GBSlm100RdcrWht,BB-GB-100-0317,Slim,100,154 ±2 mm,165 ±2 mm,37 ±0.5 mm,37,37,95.83,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
