family,capacityMl,bodyHeightMm,widthAxisMm,depthAxisMm,axisSemantics,secondAxisStatus,variantCount,colors,applicators,productGroupSlugs,conflictFlagCounts,rawHeightValues,rawDiameterValues
Empire,50,88,37,37.0,square,equal-to-width(square-section),49,Clear,Dropper|Lotion Pump|Perfume Spray Pump|Reducer|Vintage Bulb Sprayer|Vintage Bulb Sprayer with Tassel,empire-50ml-clear-18-415-antiquespray|empire-50ml-clear-18-415-antiquespray-tassel|empire-50ml-clear-18-415-dropper|empire-50ml-clear-18-415-lotionpump|empire-50ml-clear-18-415-perfumespray|empire-50ml-clear-18-415-reducer,d:dup_lineage_stale_value×2,88 ±1 mm×49,37 ±0.5 mm×47|72 ±1 mm×2
Empire,100,107,46,46.0,square,equal-to-width(square-section),46,Clear,Lotion Pump|Perfume Spray Pump|Reducer|Vintage Bulb Sprayer|Vintage Bulb Sprayer with Tassel,empire-100ml-clear-18-415-antiquespray|empire-100ml-clear-18-415-antiquespray-tassel|empire-100ml-clear-18-415-lotionpump|empire-100ml-clear-18-415-perfumespray|empire-100ml-clear-18-415-reducer,d:dup_lineage_stale_value×2,107 ±2 mm×46,46 ±0.5 mm×44|78 ±1 mm×2
Flair,15,56,41,20.0,flat,from-live-site(Item Depth),30,Clear,Fine Mist Sprayer|Metal Roller Ball|Plastic Roller Ball,flair-15ml-clear-13-415|flair-15ml-clear-13-415-finemist|flair-15ml-clear-13-415-rollon,convex_widthaxis_corrected_by_site(was=30.0)×30,56 ±1 mm×30,30 ±0.5 mm×30
Grace,55,113,52,30.0,flat,from-live-site(Item Depth),45,Clear,Lotion Pump|Perfume Spray Pump|Reducer|Vintage Bulb Sprayer|Vintage Bulb Sprayer with Tassel,grace-55ml-clear-18-415-antiquespray|grace-55ml-clear-18-415-antiquespray-tassel|grace-55ml-clear-18-415-lotionpump|grace-55ml-clear-18-415-perfumespray|grace-55ml-clear-18-415-reducer,convex_widthaxis_corrected_by_site(was=55.0)×45;h:group_outlier_unresolved×1;convex_height_corrected_by_site(was=90.0)×1,113 ±2 mm×44|90 ±1 mm×1,55 ±0.5 mm×38|55×7
Lotion Bottle,3,118,33,33.0,round,equal-to-diameter(circular),1,Clear,,lotion-bottle-3ml-clear-Snap-On,,118×1,33×1
Lotion Bottle,30,118,33,33.0,round,equal-to-diameter(circular),3,Clear,Lotion Pump,lotion-bottle-30ml-clear|lotion-bottle-30ml-clear-18mm,,118×2|118 ±2 mm×1,33 ±0.5 mm×3
Pillar,9,57,21,21.0,round,equal-to-diameter(circular),3,Clear,Fine Mist Sprayer|N/A,pillar-9ml-clear-13-415|pillar-9ml-clear-17-415-finemist,d:override_applied×2;h:override_applied×2;h:missing×1;convex_widthaxis_corrected_by_site(was=43.7)×1,None×3,22×1|None×1|43.7×1
Pillar,9,57,20,20.0,round,equal-to-diameter(circular),1,Clear,N/A,pillar-9ml-clear-13-415,h:missing×1,None×1,20×1
Plastic Bottle,10,94,24,23.7,round,equal-to-diameter(circular),1,Clear,Fine Mist Sprayer,plastic-bottle-10ml-mixed,,93.8×1,23.7×1
Plastic Bottle,30,68,24,23.7,round,equal-to-diameter(circular),3,Clear,Fine Mist Sprayer,plastic-bottle-30ml-mixed,,68×2|68 ±1 mm×1,23.7×3
