family,capacityMl,bodyHeightMm,widthAxisMm,depthAxisMm,axisSemantics,secondAxisStatus,variantCount,colors,applicators,productGroupSlugs,conflictFlagCounts,rawHeightValues,rawDiameterValues
Diva,46,89,49,49.0,round,equal-to-diameter(circular),142,Clear|Frosted,Dropper|Lotion Pump|Perfume Spray Pump|Reducer|Vintage Bulb Sprayer|Vintage Bulb Sprayer with Tassel,diva-46ml-clear-18-415|diva-46ml-clear-18-415-antiquespray|diva-46ml-clear-18-415-antiquespray-tassel|diva-46ml-clear-18-415-dropper|diva-46ml-clear-18-415-lotionpump|diva-46ml-clear-18-415-perfumespray|diva-46ml-clear-18-415-reducer|diva-46ml-frosted-18-415-antiquespray|diva-46ml-frosted-18-415-antiquespray-tassel|diva-46ml-frosted-18-415-dropper|diva-46ml-frosted-18-415-lotionpump|diva-46ml-frosted-18-415-perfumespray|diva-46ml-frosted-18-415-reducer,,89 ±1 mm×142,49 ±0.5 mm×142
Diva,100,113,64,64.0,round,equal-to-diameter(circular),45,Clear,Lotion Pump|Perfume Spray Pump|Reducer|Vintage Bulb Sprayer|Vintage Bulb Sprayer with Tassel,diva-100ml-clear-18-415-antiquespray|diva-100ml-clear-18-415-antiquespray-tassel|diva-100ml-clear-18-415-lotionpump|diva-100ml-clear-18-415-perfumespray|diva-100ml-clear-18-415-reducer,,113 ±2 mm×45,64 ±1 mm×45
Elegant,15,61,36,18.0,flat,from-live-site(Item Depth),57,Clear,Fine Mist Sprayer|Metal Roller Ball|Plastic Roller Ball,elegant-15ml-clear-13-415|elegant-15ml-clear-13-415-finemist|elegant-15ml-clear-13-415-rollon,convex_widthaxis_corrected_by_site(was=30.0)×57;d:dup_lineage_stale_value×27;h:dup_lineage_stale_value×4,61 ±1 mm×53|70 ±1 mm×4,30 ±0.5 mm×30|35 ±0.5 mm×27
Elegant,15,61,30,,flat,UNKNOWN — not recorded in any system,1,Clear,Cap/Closure,elegant-15ml-clear-13-415-capclosure,,61 ±1 mm×1,30 ±0.5 mm×1
Elegant,15,61,35,18.0,flat,from-live-site(Item Depth),28,Frosted,Fine Mist Sprayer|Metal Roller Ball|N/A|Plastic Roller Ball,elegant-15ml-frosted-13-415|elegant-15ml-frosted-13-415-finemist|elegant-15ml-frosted-13-415-rollon,convex_height_corrected_by_site(was=70.0)×4;h:dup_lineage_stale_value×4;d:override_applied×1;h:override_applied×1,61 ±1 mm×23|70 ±1 mm×4|61 ±1 mm Item Width: 36 ±0.5 m×1,35 ±0.5 mm×27|None×1
Elegant,30,75,44,22.0,flat,from-live-site(Item Depth),14,Clear|Frosted,Perfume Spray Pump,elegant-30ml-clear-15-415|elegant-30ml-clear-15-415-perfumespray|elegant-30ml-frosted-15-415|elegant-30ml-frosted-15-415-perfumespray,convex_widthaxis_corrected_by_site(was=37.0)×14,75×10|75 ±1 mm×4,37 ±0.5 mm×14
Elegant,60,86,54,27.0,flat,from-live-site(Item Depth),96,Clear|Frosted,Dropper|Fine Mist Sprayer|Lotion Pump|Perfume Spray Pump|Reducer|Vintage Bulb Sprayer|Vintage Bulb Sprayer with Tassel,elegant-60ml-clear-18-415-antiquespray|elegant-60ml-clear-18-415-antiquespray-tassel|elegant-60ml-clear-18-415-dropper|elegant-60ml-clear-18-415-finemist|elegant-60ml-clear-18-415-lotionpump|elegant-60ml-clear-18-415-perfumespray|elegant-60ml-clear-18-415-reducer|elegant-60ml-frosted-18-415-antiquespray|elegant-60ml-frosted-18-415-antiquespray-tassel|elegant-60ml-frosted-18-415-dropper|elegant-60ml-frosted-18-415-lotionpump|elegant-60ml-frosted-18-415-perfumespray|elegant-60ml-frosted-18-415-reducer,convex_widthaxis_corrected_by_site(was=39.0)×67;convex_widthaxis_corrected_by_site(was=42.6)×16;convex_widthaxis_corrected_by_site(was=60.0)×13;convex_height_corrected_by_site(was=92.0)×10;d:group_outlier_unresolved×9;h:group_outlier_unresolved×5;d:dup_lineage_stale_value×1;h:dup_lineage_stale_value×1,86 ±1 mm×85|92 ±1 mm×11,39 ±0.5 mm×66|42.6×16|60 ±0.5 mm×14
Elegant,60,87,54,27.0,flat,from-live-site(Item Depth),3,Clear|Frosted,Dropper,elegant-60ml-clear-18-415-dropper|elegant-60ml-frosted-18-415-dropper,convex_widthaxis_corrected_by_site(was=42.6)×3;d:group_outlier_unresolved×1,86.9×3,42.6×3
Elegant,100,109,61,30.0,flat,from-live-site(Item Depth),90,Clear|Frosted,Fine Mist Sprayer|Lotion Pump|Perfume Spray Pump|Reducer|Vintage Bulb Sprayer|Vintage Bulb Sprayer with Tassel,elegant-100ml-clear-18-415-antiquespray|elegant-100ml-clear-18-415-antiquespray-tassel|elegant-100ml-clear-18-415-finemist|elegant-100ml-clear-18-415-lotionpump|elegant-100ml-clear-18-415-perfumespray|elegant-100ml-clear-18-415-reducer|elegant-100ml-frosted-18-415-antiquespray|elegant-100ml-frosted-18-415-antiquespray-tassel|elegant-100ml-frosted-18-415-lotionpump|elegant-100ml-frosted-18-415-perfumespray|elegant-100ml-frosted-18-415-reducer,convex_widthaxis_corrected_by_site(was=78.0)×74;convex_widthaxis_corrected_by_site(was=35.0)×15;d:dup_lineage_stale_value×2;h:dup_lineage_stale_value×2;convex_height_corrected_by_site(was=103.0)×1;convex_widthaxis_corrected_by_site(was=68.0)×1,109 ±2 mm×87|103 ±1 mm×3,78 ±1 mm×72|35 ±0.5 mm×15|68 ±0.5 mm×3
Elegant,100,109,35,,flat,UNKNOWN — not recorded in any system,1,Clear,Lotion Pump,elegant-100ml-clear-18-415-lotionpump,,109 ±2 mm×1,35 ±0.5 mm×1
