family,sku,capacityMl,color,applicator,slots,issues,builderStatus
Round,GBRnd78AnSpTslLvn,78,Clear,Vintage Bulb Sprayer with Tassel,,no_served_kit,listed
Round,GBRnd78AnSpTslPnk,78,Clear,Vintage Bulb Sprayer with Tassel,,no_served_kit,listed
Round,GBRnd78AnSpTslMtSl,78,Clear,Vintage Bulb Sprayer with Tassel,,no_served_kit,listed
Round,GBRndFrst128RdcrShnSl,128,Frosted,Reducer,,no_served_kit,listed
Round,GBRndFrst128RdcrShnBlk,128,Frosted,Reducer,body; cap,,compatibility_unresolved
Round,GBRndFrst78AnSpTslLvn,78,Frosted,Vintage Bulb Sprayer with Tassel,,no_served_kit,listed
Round,GBRndFrst78AnSpTslPnk,78,Frosted,Vintage Bulb Sprayer with Tassel,,no_served_kit,listed
Round,GBRndFrst78AnSpTslBlk,78,Frosted,Vintage Bulb Sprayer with Tassel,,no_served_kit,listed
Round,GBRndFrst78AnSpTslRed,78,Frosted,Vintage Bulb Sprayer with Tassel,,no_served_kit,listed
Round,GBRnd128SpryMtSl,128,Clear,Perfume Spray Pump,,no_served_kit,listed
Round,GBRndFrst128SpryShnBlk,128,Frosted,Perfume Spray Pump,,no_served_kit,listed
Round,GBRndFrst128SpryShnSl,128,Frosted,Perfume Spray Pump,,no_served_kit,listed
Round,GBRnd128AnSpTslBlk,128,Clear,Vintage Bulb Sprayer with Tassel,,no_served_kit,listed
Round,GBRndFrst128AnSpTslBlk,128,Frosted,Vintage Bulb Sprayer,,not_in_filtered_pdp; no_served_kit,listed
Round,LBRnd78LtnShnGl,78,Clear,Lotion Pump,,no_served_kit,listed
Round,LBRnd78LtnShnBlk,78,Clear,Lotion Pump,,no_served_kit,listed
Round,LBRnd78LtnMtSl,78,Clear,Lotion Pump,,no_served_kit,listed
Round,LBRnd78LtnShnSl,78,Clear,Lotion Pump,,no_served_kit,listed
Round,LBRndFrst78LtnCu,78,Frosted,Lotion Pump,,no_served_kit,listed
Round,GBRnd128DrpCu,128,Clear,Dropper,body; pipette,,compatibility_unresolved
Round,GBRndFrst128DrpCu,128,Frosted,Dropper,,no_served_kit,compatibility_unresolved
Round,GBRnd78RdcrShnBlk,78,Clear,Reducer,body; cap,,compatibility_unresolved
Round,GBRnd128AnSpTslIvySl,128,Clear,Vintage Bulb Sprayer with Tassel,,no_served_kit,listed
Round,GBRnd128AnSpTslRed,128,Clear,Vintage Bulb Sprayer with Tassel,,no_served_kit,listed
Round,GBRnd128AnSpTslWht,128,Clear,Vintage Bulb Sprayer with Tassel,,no_served_kit,listed
Round,GBRndFrst78RdcrShnBlk,78,Frosted,Reducer,body; cap,,compatibility_unresolved
Round,GBRndFrst128AnSpLvn,128,Frosted,Vintage Bulb Sprayer,,no_served_kit,listed
Empire,GBEmp100RdcrShnBlk,100,Clear,Reducer,body; cap,,compatibility_unresolved
Empire,LBEmp50WhtClOvrCp,50,Clear,Lotion Pump,body; diptube; pump,,compatibility_unresolved
Empire,GBEmp50RdcrShnBlk,50,Clear,Reducer,body; cap,,compatibility_unresolved
Empire,LBEmp100WhtClOvrCp,100,Clear,Lotion Pump,body; diptube; pump,,compatibility_unresolved
